"Discrete"	"Continuous"	"group1"	"group2"	"n1"	"n2"	"statistic"	"p"	"p.adj"	"p.adj.signif"
"Diagnosis"	"Richness"	"Peripheral"	"Mixed"	21	10	1.37942014119778	0.167765252810335	0.33553050562067	"ns"
"Diagnosis"	"Richness"	"Peripheral"	"Axial"	21	59	3.0611617785648	0.00220479930589165	0.0132287958353499	"*"
"Diagnosis"	"Richness"	"Peripheral"	"HC"	21	29	2.73718758940694	0.00619669462298187	0.0185900838689456	"*"
"Diagnosis"	"Richness"	"Mixed"	"Axial"	10	59	0.724781311027137	0.468586202876389	0.585619650572535	"ns"
"Diagnosis"	"Richness"	"Mixed"	"HC"	10	29	0.693467243714509	0.488016375477113	0.585619650572535	"ns"
"Diagnosis"	"Richness"	"Axial"	"HC"	59	29	0.0284324204369729	0.977317266878066	0.977317266878066	"ns"
"Diagnosis"	"InvSimpson"	"Peripheral"	"Mixed"	21	10	0.929463744028333	0.352648806202132	0.423178567442559	"ns"
"Diagnosis"	"InvSimpson"	"Peripheral"	"Axial"	21	59	2.04482111655651	0.0408724971251346	0.0613087456877019	"ns"
"Diagnosis"	"InvSimpson"	"Peripheral"	"HC"	21	29	4.02568744461014	5.68091059140967e-05	0.00034085463548458	"***"
"Diagnosis"	"InvSimpson"	"Mixed"	"Axial"	10	59	0.475127494818185	0.634696102221772	0.634696102221772	"ns"
"Diagnosis"	"InvSimpson"	"Mixed"	"HC"	10	29	2.17165100871066	0.029881996436002	0.0597639928720041	"ns"
"Diagnosis"	"InvSimpson"	"Axial"	"HC"	59	29	2.79515520694018	0.00518748038443577	0.0155624411533073	"*"
"Diagnosis"	"Pielou"	"Peripheral"	"Mixed"	21	10	0.615450867228656	0.538257007293894	0.538257007293894	"ns"
"Diagnosis"	"Pielou"	"Peripheral"	"Axial"	21	59	1.80514760402064	0.0710515874963185	0.106577381244478	"ns"
"Diagnosis"	"Pielou"	"Peripheral"	"HC"	21	29	3.87185644664418	0.00010800956136091	0.00064805736816546	"***"
"Diagnosis"	"Pielou"	"Mixed"	"Axial"	10	59	0.649834187802434	0.51579933289667	0.538257007293894	"ns"
"Diagnosis"	"Pielou"	"Mixed"	"HC"	10	29	2.38044787988831	0.0172916069830075	0.0345832139660151	"*"
"Diagnosis"	"Pielou"	"Axial"	"HC"	59	29	2.86933906690253	0.00411330593752745	0.0123399178125824	"*"
