Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
MF0085_urea_degradation	Non_responder	15	Responder	49	144.952346501214	212.038070677375	100.268214599235	214.063183435733	127.078608633107	116.970767594651	225	0.233330234223724	0.0233033868941574	64	Responder	0.128686639772834
MF0064_triacylglycerol_degradation	Non_responder	15	Responder	49	148.517508557243	386.184753138403	125.468944412489	359.484255426833	155.592365608809	339.587052784441	170	0.312882297584549	0.00132796499269869	64	Responder	0.128686639772834
MF0012_trehalose_degradation	Non_responder	15	Responder	49	247.298188330842	380.266482034197	214.839533298668	375.967576633782	185.664383941417	204.174541233142	211	0.272758115411822	0.0123299683933115	64	Responder	0.128686639772834
MF0102_sulfate_reduction__dissimilatory_	Non_responder	15	Responder	49	320.161600522486	616.611112660923	239.649631311358	575.876317580453	227.682855459345	415.018294206358	200	0.315158652557636	0.0071693279456504	64	Responder	0.128686639772834
MF0041_valine_degradation_I	Non_responder	15	Responder	49	528.212550895232	769.627870317333	440.399623221436	737.93931931771	351.373656371605	408.834910655924	214	0.251447799557584	0.0142018452316754	64	Responder	0.128686639772834
MF0058_lysine_degradation_II	Non_responder	15	Responder	49	533.253322471926	780.906570208398	439.509194647862	728.605969350239	531.217665456954	479.767584348254	209	0.210125687067827	0.0112040254275296	64	Responder	0.128686639772834
MF0013_allose_degradation	Non_responder	15	Responder	49	592.210852701059	855.051206874071	443.200277828907	732.497561326487	482.569990033211	512.568268612482	227	0.216486086630186	0.0254025765681158	64	Responder	0.128686639772834
MF0089_butyrate_production_II	Non_responder	15	Responder	49	677.548291874063	965.391193620062	591.442225316549	867.858563857454	539.497736201186	498.725032899125	220	0.234968624578669	0.018688634783578	64	Responder	0.128686639772834
MF0036_isoleucine_degradation	Non_responder	15	Responder	49	720.027934128038	1030.74608686831	647.899746390291	942.008791909154	481.153050063723	539.151506330686	225	0.244198299470627	0.0233033868941574	64	Responder	0.128686639772834
MF0087_acetyl_CoA_to_crotonyl_CoA	Non_responder	15	Responder	49	681.444380570476	1064.17563028767	567.317502066124	943.84589359812	435.29454675369	576.841140604383	218	0.285566423172505	0.0170746117620597	64	Responder	0.128686639772834
MF0019_rhamnose_degradation	Non_responder	15	Responder	49	765.974693672159	1091.98137394705	667.27756295422	1061.22468086315	508.650108248169	620.787180038025	230	0.226883360188738	0.0288495794936683	64	Responder	0.128686639772834
MF0055_arginine_degradation_V	Non_responder	15	Responder	49	1026.04804435635	1509.16414980694	938.429642714354	1357.16975477016	562.300703166749	796.198960154321	230	0.265132342754138	0.0288495794936683	64	Responder	0.128686639772834
MGB005_Tryptophan_synthesis	Non_responder	15	Responder	49	1226.5311634942	1845.66235273487	1110.41734373505	1835.53004181224	821.445661604907	1046.66214768606	226	0.255401999166993	0.0243338338722068	64	Responder	0.128686639772834
MF0078_lactaldehyde_degradation	Non_responder	15	Responder	49	1300.47646995709	2064.59168734508	1024.86297179386	1972.01723404347	889.606394930039	1189.1282011406	218	0.277592828395454	0.0170746117620597	64	Responder	0.128686639772834
MF0015_fructose_degradation	Non_responder	15	Responder	49	1357.16872987419	2113.76675697825	1203.28850279249	2077.84008388943	908.490733535773	1183.69416489069	224	0.275303911043636	0.0223101619769478	64	Responder	0.128686639772834
MF0011_sucrose_degradation_II	Non_responder	15	Responder	49	1431.16006155553	2225.98670364428	1382.56646723768	2186.4454320136	965.275206831328	1217.37412769616	213	0.2794783672799	0.0135523985735146	64	Responder	0.128686639772834
MF0065_Bifidobacterium_shunt	Non_responder	15	Responder	49	1558.75593917492	2244.35296457286	1199.23572546043	2084.84953398426	1149.76302028268	1275.51306072088	225	0.228247670865703	0.0233033868941574	64	Responder	0.128686639772834
MF0051_arginine_degradation_I	Non_responder	15	Responder	49	1805.70624441177	2674.25882889156	1571.73049911312	2517.49418093398	1199.91439065666	1428.26988402513	216	0.259403401713099	0.0155814625700576	64	Responder	0.128686639772834
