Feature	beta	se	W	p.value	q.value	diffabn
Indole	0.377355118029997	0.142530299944856	2.64754314118467	0.00810790138798115	0.248761941000477	FALSE
E3OH_butyric_acid	-0.474225278782333	0.186073112293833	-2.54859647875116	0.0108157365652381	0.248761941000477	FALSE
Phenylpropionic_acid	-0.462753212179183	0.226279160660386	-2.04505448415425	0.040849486910452	0.469769099470198	FALSE
Gamma_Alpha_Aminobutyric_acid	0.254004729124744	0.120771361582584	2.10318676378468	0.0354494468621714	0.469769099470198	FALSE
Maleic_acid	0.265840936103712	0.142358745120459	1.86740151354079	0.0618455386116168	0.493041187439309	FALSE
E2Pentanone	0.169857682499814	0.0918136448512795	1.8500265703965	0.0643097201007794	0.493041187439309	FALSE
Pyruvic_acid	0.157368318178128	0.106425466853882	1.47867162654019	0.13922809909945	0.914927508367812	FALSE
Acetate	-0.0155446804032629	0.0507757189918002	-0.306143974165551	0.759495027678888	0.978699214759712	FALSE
Propionate	-0.0130734628881563	0.0507086973712499	-0.257815001486679	0.796549686269604	0.978699214759712	FALSE
Butyrate	-0.0132144870405784	0.0508591800211401	-0.259825011631836	0.794998756873238	0.978699214759712	FALSE
isoButyrate	-0.0118893651011762	0.051114872141153	-0.232600896825954	0.816071330845432	0.978699214759712	FALSE
Valerate	-0.012124432284505	0.0510444496195123	-0.237526947099656	0.812248016508681	0.978699214759712	FALSE
isoValerate	-0.0118365823561285	0.0510845007379567	-0.231705941824615	0.816766416060673	0.978699214759712	FALSE
Caproate	-0.0127909282996422	0.0511568858480108	-0.250033364768226	0.802561546557573	0.978699214759712	FALSE
Succinic_acid	0.0479549601175567	0.254954114184719	0.188092513317171	0.850804129862774	0.978699214759712	FALSE
Lactic_acid	-0.107453376328285	0.262792131463123	-0.408891148034101	0.682619545441546	0.978699214759712	FALSE
Tryptophan	0.0928214091777845	0.121431977461206	0.764390164093625	0.444634768460421	0.978699214759712	FALSE
E3indole_acetic_acid	0.171500287775729	0.156413241928058	1.09645632084405	0.272879128288792	0.978699214759712	FALSE
Indole_acrylic_acid	-0.0125054804943044	0.0536201122091644	-0.233223691243358	0.8155877100883	0.978699214759712	FALSE
Indole_ethanol	-0.00434998342741333	0.0493005259653461	-0.0882340166202483	0.929690681387365	0.978699214759712	FALSE
Indole_lactic_acid	0.0314758325600895	0.0494854675048851	0.636062144042234	0.524735918228628	0.978699214759712	FALSE
Indole_propionic_acid	-0.035592285797124	0.222948561726708	-0.159643486916741	0.873161920669105	0.978699214759712	FALSE
Skatol	0.00746169875428383	0.197223954382377	0.0378336332300544	0.969820328120611	0.978699214759712	FALSE
Tryptamine	0.0230129988114443	0.0658285046788594	0.349590180176686	0.72664628156442	0.978699214759712	FALSE
Kynurenine	-0.0086529033340871	0.0498017376470635	-0.173747016527993	0.862064285593076	0.978699214759712	FALSE
E3OH_kynurenine	-0.00140143806966757	0.0524888141714904	-0.0266997472087827	0.978699214759712	0.978699214759712	FALSE
Valeric_acid	0.0713077671812488	0.246183790425192	0.289652568343719	0.77208204632915	0.978699214759712	FALSE
Phenylacetic_acid	-0.0720410703670206	0.130871347079639	-0.550472444691669	0.58199537167795	0.978699214759712	FALSE
Phenyllactic_acid	0.0997047166349743	0.257098269455327	0.387807809232643	0.698158266009636	0.978699214759712	FALSE
Fumaric_acid	0.0295718889046255	0.162821458749366	0.181621569612308	0.85587972027633	0.978699214759712	FALSE
Cholic_acid	0.0355455324032618	0.278074894167869	0.127827190259771	0.89828573185968	0.978699214759712	FALSE
UDCA	-0.054958271637993	0.313306122777656	-0.175413972605301	0.860754362254096	0.978699214759712	FALSE
DCA	0.122703250058925	0.208147262344974	0.58950210863481	0.555524498040771	0.978699214759712	FALSE
LCA	0.0381562982684702	0.18848122914273	0.202440839557428	0.839572103931412	0.978699214759712	FALSE
Aminovaleric_acid	0.0107320964770681	0.171293070388073	0.0626534188029556	0.950042490883169	0.978699214759712	FALSE
Pantotenic_acid	-0.0821877913444801	0.11929897990051	-0.688922834151817	0.49087182909821	0.978699214759712	FALSE
Serotonin	-0.0592406203436984	0.0800880853501255	-0.739693302502025	0.459486112914724	0.978699214759712	FALSE
Dopamine	-0.0281313566704605	0.0824899640934437	-0.341027626567925	0.733082784059745	0.978699214759712	FALSE
Spermidine	-0.0978612928760762	0.154139372413967	-0.634888356838855	0.525501231260682	0.978699214759712	FALSE
Putrescine	0.0517516628351137	0.214975926867367	0.240732362870763	0.809762554514275	0.978699214759712	FALSE
E1_3Propanediol	-0.2376210864147	0.177269749009512	-1.3404491614751	0.180099361933301	0.978699214759712	FALSE
E2_3Pentanedione	-0.0416514551727519	0.212794692823585	-0.195735404018194	0.844817271974451	0.978699214759712	FALSE
E3Heptanone	0.145403700761162	0.12474757817645	1.16558335549805	0.243782940611744	0.978699214759712	FALSE
Acetophenone	0.108869919177206	0.100978060360584	1.0781541929845	0.280964950302576	0.978699214759712	FALSE
Methyl_2_cyclohexenone	0.0133433714005107	0.0536957056687606	0.248499786609075	0.803747735162091	0.978699214759712	FALSE
GLCA	-0.103404821537489	0.284467242722205	-0.363503440845976	0.71622884303844	0.978699214759712	FALSE
