Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_d	p.value	N	Dominant	q.value
E3OH_butyric_acid	HC	38	SpA	56	0.438108646657226	0.00876997387045429	0.453166985751935	0.174001522206878	0.629929124131617	0.805859327948038	2.89203974210715	0.580070510333211	0.00479779159808647	94	HC	0.110349206755989
Tryptamine	HC	38	SpA	56	-1.74989735295751	-1.30672776795062	-1.89295426316557	-1.2285480810391	0.768684784334825	0.632644247427603	-2.94164684846244	0.641730313080385	0.00444108974981416	94	SpA	0.110349206755989
E2Pentanone	HC	38	SpA	56	0.136501733213461	0.29759224729785	0.174001522206878	0.261793305392344	0.292295680415256	0.272517841457635	-2.69439624767185	0.574012095296874	0.00867991279593661	94	SpA	0.133091996204361
E1_3Propanediol	HC	38	SpA	56	-0.261937801020845	-0.782912153195968	-0.0817409426626346	-0.546478154120526	0.986819930374621	1.0972448592056	2.3998680990471	0.494177004225399	0.0185873728430526	94	HC	0.186179604760901
Maleic_acid	HC	38	SpA	56	0.647080106505973	0.822182405322627	0.621036235399378	0.778783577594223	0.30742387747254	0.41002820018142	-2.36338128340162	0.470478016099007	0.0202369135609675	94	SpA	0.186179604760901
Phenylpropionic_acid	HC	38	SpA	56	1.52690904548309	1.25267850929011	1.59070773452176	1.40654076733863	0.502934635801966	0.724032416021481	2.16679639890689	0.425626138760916	0.0328358725938057	94	HC	0.251741689885844
Methyl_2_cyclohexenone	HC	38	SpA	56	-0.950654903344308	-0.810249955796758	-0.939222313455561	-0.846156216182532	0.312542841160674	0.425101167263903	-1.84399071688456	0.365807464657262	0.0684259444128957	94	SpA	0.449656206141886
E3Heptanone	HC	38	SpA	56	0.328694226768219	0.462153840772978	0.306507843170677	0.453166985751935	0.380643025053409	0.387116201141244	-1.65677493923426	0.3470756940671	0.101458306489972	94	SpA	0.46670820985387
Gamma_Alpha_Aminobutyric_acid	HC	38	SpA	56	1.17095064763592	1.25554691513583	1.18239477666745	1.24963619408509	0.224166936036274	0.263410143146983	-1.67152158765211	0.340600255975388	0.0982007471775111	94	SpA	0.46670820985387
Indole	HC	38	SpA	56	1.08897287227019	1.21686764305122	1.09802138217756	1.21601548537627	0.372429345729562	0.301178597567808	-1.76178125264493	0.385598116585509	0.0825941345589727	94	SpA	0.46670820985387
Acetophenone	HC	38	SpA	56	0.358106495438049	0.439212308371769	0.34503348421787	0.453166985751935	0.240179815614465	0.315248121335572	-1.41342893530515	0.28218148403869	0.160952811533021	94	SpA	0.494490757088509
Kynurenine	HC	38	SpA	56	-1.71221865518701	-1.60119885724597	-1.75912440413533	-1.62877624090436	0.383020774776233	0.341878476085771	-1.43953334011573	0.309254143767909	0.154251365481882	94	SpA	0.494490757088509
E3indole_acetic_acid	HC	38	SpA	56	0.27575491491328	0.4120439049836	0.306507843170677	0.383559125265062	0.454252318419652	0.465053422174286	-1.41384523804649	0.295804591810981	0.161246986007122	94	SpA	0.494490757088509
Propionate	HC	38	SpA	56	-1.76593024319658	-1.84005313462508	-1.75912440413533	-1.89295426316557	0.24782245780788	0.219330279369554	1.48985352668678	0.320584709705024	0.140575281079439	94	HC	0.494490757088509
Acetate	HC	38	SpA	56	-1.3001497858939	-1.37142031102268	-1.34480570356936	-1.34480570356936	0.239868892348787	0.214345124445997	1.47505255370733	0.316816294319294	0.144472126988332	94	SpA	0.494490757088509
Pantotenic_acid	HC	38	SpA	56	1.2431395383158	1.17875876744905	1.24963619408509	1.21601548537627	0.209977570121797	0.276079746000232	1.2821521859931	0.255893822991711	0.20305568337178	94	HC	0.52742785820743
Pyruvic_acid	HC	38	SpA	56	0.70546721687584	0.770577880729898	0.700890052580844	0.778783577594223	0.201308110230667	0.29234730118899	-1.27873596000759	0.250810956583878	0.204207448323436	94	SpA	0.52742785820743
Caproate	HC	38	SpA	56	-2.988404562331	-3.06873120822446	-3.24174448143473	-3.24174448143473	0.329616876816972	0.248337335378903	1.27640736949678	0.283001935597072	0.206384814081168	94	SpA	0.52742785820743
E3OH_kynurenine	HC	38	SpA	56	-1.55103548747904	-1.37131579381922	-1.46930900194632	-1.28667689230423	0.720380590655018	0.700991794149954	-1.19996346401013	0.253535836362303	0.233779791508284	94	SpA	0.55171979562603
Indole_lactic_acid	HC	38	SpA	56	-0.916144090337518	-0.809028380555036	-0.939222313455561	-0.753090118909502	0.366723487194094	0.510830793226074	-1.18297478093383	0.23369646594399	0.239878172011317	94	SpA	0.55171979562603
