Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Tryptamine	HC	38	SpA	56	-1.74989735295751	-1.30672776795062	-1.89295426316557	-1.2285480810391	0.768684784334825	0.632644247427603	627.5	0.301715957252975	0.000743781880974217	94	SpA	0.034213966524814
E2Pentanone	HC	38	SpA	56	0.136501733213461	0.29759224729785	0.174001522206878	0.261793305392344	0.292295680415256	0.272517841457635	739.5	0.272394437786881	0.0120331494285794	94	SpA	0.203698570464291
E3OH_butyric_acid	HC	38	SpA	56	0.438108646657226	0.00876997387045429	0.453166985751935	0.174001522206878	0.629929124131617	0.805859327948038	1385.5	0.275050648178106	0.0132846893781059	94	HC	0.203698570464291
Maleic_acid	HC	38	SpA	56	0.647080106505973	0.822182405322627	0.621036235399378	0.778783577594223	0.30742387747254	0.41002820018142	758.5	0.226062396655996	0.0184244281018434	94	SpA	0.211880923171199
Phenylpropionic_acid	HC	38	SpA	56	1.52690904548309	1.25267850929011	1.59070773452176	1.40654076733863	0.502934635801966	0.724032416021481	1348	0.205477155253707	0.0282885703168245	94	HC	0.260254846914786
E1_3Propanediol	HC	38	SpA	56	-0.261937801020845	-0.782912153195968	-0.0817409426626346	-0.546478154120526	0.986819930374621	1.0972448592056	1336.5	0.236818785367144	0.0358335402219661	94	HC	0.274723808368407
Methyl_2_cyclohexenone	HC	38	SpA	56	-0.950654903344308	-0.810249955796758	-0.939222313455561	-0.846156216182532	0.312542841160674	0.425101167263903	822.5	0.177591888465229	0.0610048737182696	94	SpA	0.400889170148629
Acetophenone	HC	38	SpA	56	0.358106495438049	0.439212308371769	0.34503348421787	0.453166985751935	0.240179815614465	0.315248121335572	867	0.137886101812157	0.128078793300576	94	SpA	0.460347845436559
E3Heptanone	HC	38	SpA	56	0.328694226768219	0.462153840772978	0.306507843170677	0.453166985751935	0.380643025053409	0.387116201141244	872.5	0.168766654105464	0.140105866002431	94	SpA	0.460347845436559
Gamma_Alpha_Aminobutyric_acid	HC	38	SpA	56	1.17095064763592	1.25554691513583	1.18239477666745	1.24963619408509	0.224166936036274	0.263410143146983	845.5	0.165706147464887	0.0912565565906027	94	SpA	0.460347845436559
Pyruvic_acid	HC	38	SpA	56	0.70546721687584	0.770577880729898	0.700890052580844	0.778783577594223	0.201308110230667	0.29234730118899	868.5	0.122805128513086	0.131036154968941	94	SpA	0.460347845436559
Kynurenine	HC	38	SpA	56	-1.71221865518701	-1.60119885724597	-1.75912440413533	-1.62877624090436	0.383020774776233	0.341878476085771	860.5	0.150823845662664	0.114023774376073	94	SpA	0.460347845436559
Indole	HC	38	SpA	56	1.08897287227019	1.21686764305122	1.09802138217756	1.21601548537627	0.372429345729562	0.301178597567808	870	0.186869129419533	0.134614888233382	94	SpA	0.460347845436559
Acetate	HC	38	SpA	56	-1.3001497858939	-1.37142031102268	-1.34480570356936	-1.34480570356936	0.239868892348787	0.214345124445997	1263	0.154424062641167	0.118640196454932	94	SpA	0.460347845436559
E3OH_kynurenine	HC	38	SpA	56	-1.55103548747904	-1.37131579381922	-1.46930900194632	-1.28667689230423	0.720380590655018	0.700991794149954	887.5	0.124118652623606	0.173311227191807	94	SpA	0.531487763388207
Cholic_acid	HC	38	SpA	56	1.03830785351503	1.11891509476382	0.946494742606119	1.09802138217756	0.634953159075161	0.576466622964628	909	0.0660664682655199	0.233159566448671	94	SpA	0.642662860051829
Propionate	HC	38	SpA	56	-1.76593024319658	-1.84005313462508	-1.75912440413533	-1.89295426316557	0.24782245780788	0.219330279369554	1214	0.156215834303981	0.237505839584372	94	HC	0.642662860051829
GLCA	HC	38	SpA	56	1.53018018531638	1.38601976195756	1.71411879912148	1.5413869131514	0.564602763342367	0.690541033239936	1185.5	0.109966777896923	0.347683671742826	94	HC	0.659899908123808
Valeric_acid	HC	38	SpA	56	3.22016494612791	3.1541000148729	3.38353190731196	3.38353190731196	0.3373075644234	0.35386313507705	1180.5	0.0934430556656783	0.322258889103244	94	SpA	0.659899908123808
Skatol	HC	38	SpA	56	-0.271292644995287	-0.107853351167018	-0.18960145393182	0.0173255308683699	1.01850800427877	0.966505702784849	944.5	0.0813687074956	0.358641254415113	94	SpA	0.659899908123808
Indole_lactic_acid	HC	38	SpA	56	-0.916144090337518	-0.809028380555036	-0.939222313455561	-0.753090118909502	0.366723487194094	0.510830793226074	932.5	0.114540454391317	0.309605100191556	94	SpA	0.659899908123808
Indole_acrylic_acid	HC	38	SpA	56	-1.91353465693917	-2.01844525949449	-1.75912440413533	-2.04509874008936	0.679573067353799	0.6977880185312	1193.5	0.0747512778721571	0.318015244847452	94	HC	0.659899908123808
E3indole_acetic_acid	HC	38	SpA	56	0.27575491491328	0.4120439049836	0.306507843170677	0.383559125265062	0.454252318419652	0.465053422174286	917.5	0.144405800511649	0.259574511054891	94	SpA	0.659899908123808
Caproate	HC	38	SpA	56	-2.988404562331	-3.06873120822446	-3.24174448143473	-3.24174448143473	0.329616876816972	0.248337335378903	1179.5	0.138279272757222	0.304395643647574	94	SpA	0.659899908123808
Valerate	HC	38	SpA	56	-2.56312909626437	-2.61239765816196	-2.54561952214512	-2.66266023732506	0.239581577594511	0.233123429585135	1178	0.102569214814575	0.358553955581312	94	HC	0.659899908123808
Pantotenic_acid	HC	38	SpA	56	1.2431395383158	1.17875876744905	1.24963619408509	1.21601548537627	0.209977570121797	0.276079746000232	1166	0.125254784581124	0.431788102755777	94	HC	0.763932797183297
Phenylacetic_acid	HC	38	SpA	56	0.201214623727669	0.1526005107449	0.306507843170677	0.130924276799746	0.481883084490633	0.490488968282604	1158	0.0491887789538003	0.469996082769349	94	HC	0.765157991432473
Lactic_acid	HC	38	SpA	56	1.18517550362179	1.10929348059585	1.29069227474939	1.05707764020907	0.648869929219419	0.679336892057476	1155.5	0.0560228435556687	0.482382211990037	94	HC	0.765157991432473
isoValerate	HC	38	SpA	56	-2.47052927159922	-2.43953190902772	-2.54561952214512	-2.54561952214512	0.227512826329797	0.23742739117886	974	0.0653613672237299	0.473787038812755	94	SpA	0.765157991432473
E2_3Pentanedione	HC	38	SpA	56	0.23705026153777	0.23346304908919	0.0173255308683699	0.21707876761401	0.674064184856332	0.499295075443429	996.5	0.00307286299885708	0.604386476795766	94	SpA	0.811928648266442
Dopamine	HC	38	SpA	56	-0.714261999129191	-0.882219134068967	-0.546478154120526	-0.546478154120526	0.805228570163385	0.944419287698208	1121.5	0.092599318464999	0.658792058382255	94	SpA	0.811928648266442
Serotonin	HC	38	SpA	56	-0.728170393421969	-0.665634861296409	-0.753090118909502	-0.753090118909502	0.502302355048995	0.417410276063085	1004	0.0678849694567086	0.643380385391026	94	SpA	0.811928648266442
LCA	HC	38	SpA	56	2.33032707549861	2.40187680831947	2.31979284286194	2.31979284286194	0.439195500361566	0.434667779911388	1003	0.0806127820660055	0.615174968053677	94	SpA	0.811928648266442
DCA	HC	38	SpA	56	3.15760983570492	3.20481426575471	3.15585369317358	3.15585369317358	0.282368947149025	0.157842317766595	1003.5	0.106856483133151	0.615951622244342	94	SpA	0.811928648266442
UDCA	HC	38	SpA	56	2.71231248769109	2.66762176649985	2.95190864993729	2.95190864993729	0.529521838885651	0.658162027079457	1010.5	0.0361427557954931	0.670723665959235	94	SpA	0.811928648266442
Indole_ethanol	HC	38	SpA	56	-1.09553972497366	-1.06402967963491	-1.09085266128636	-1.09085266128636	0.273197583512852	0.341319880386487	1007.5	0.049187551520521	0.661606526399865	94	SpA	0.811928648266442
isoButyrate	HC	38	SpA	56	-2.81572987473299	-2.76764070729774	-2.80575004267388	-2.80575004267388	0.242447651789149	0.257166044274873	997.5	0.0939779984254955	0.596010190721477	94	SpA	0.811928648266442
Butyrate	HC	38	SpA	56	-1.85837652585474	-1.89388175551577	-1.89295426316557	-1.89295426316557	0.252004388837075	0.228171545008953	1132.5	0.0733932304710751	0.593444438754826	94	SpA	0.811928648266442
Succinic_acid	HC	38	SpA	56	1.73079207596574	1.7344298884924	1.59070773452176	1.59070773452176	0.583735110950907	0.534122884746309	1012.5	0.0032363561327719	0.692763248386449	94	SpA	0.817105369891709
Indole_propionic_acid	HC	38	SpA	56	0.625456668969712	0.619924081460979	0.541561685611158	0.541561685611158	0.476356005963389	0.626069912633388	1108.5	0.00478405724519452	0.733976051877529	94	SpA	0.844072459659158
Aminovaleric_acid	HC	38	SpA	56	1.71865257154359	1.66836134710413	1.71411879912148	1.71411879912148	0.414913364591433	0.396900583168087	1102	0.0612676952857271	0.770761021216498	94	SpA	0.864756267706315
Putrescine	HC	38	SpA	56	0.807086505453385	0.724695070742489	0.946494742606119	0.864720610369355	0.552292123212634	0.818870487616669	1099	0.0560942977540305	0.790013197167287	94	HC	0.865252549278458
Phenyllactic_acid	HC	38	SpA	56	0.572627191476955	0.570319656407535	0.383559125265062	0.453166985751935	0.659113349233535	0.63369184159677	1037	0.00176783921610858	0.837964120068643	94	SpA	0.896426733096687
Spermidine	HC	38	SpA	56	1.08077836446242	1.01148175108352	1.18239477666745	1.09802138217756	0.297121981008803	0.425511255402414	1086.5	0.0898133201647204	0.864904860738101	94	HC	0.904218718044378
Fumaric_acid	HC	38	SpA	56	0.755188517939852	0.74598414232671	0.778783577594223	0.778783577594223	0.383261353510787	0.453433400395469	1060.5	0.0106451600594627	0.981506286567101	94	SpA	0.981506286567101
Tryptophan	HC	38	SpA	56	1.67741442353763	1.66607425811853	1.65241326682162	1.71411879912148	0.239005431216102	0.269429966090649	1060	0.0217135680182028	0.978189963450281	94	SpA	0.981506286567101
