Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
E3OH_butyric_acid	HC	38	SpA	56	5.27407756059501	2.67613252605652	2.87333501831556	1.00808802188817	9.03652552764568	4.70546504373576	1396	0.185524350130153	0.0105203026524899	94	HC	0.161311307338179
Tryptamine	HC	38	SpA	56	0.097136821057045	0.166927766427753	0.0138659531864096	0.0408081969229536	0.288214056054648	0.534698751949539	695	0.0759575619635675	0.00452396975355665	94	SpA	0.161311307338179
Indole	HC	38	SpA	56	13.8688179629229	20.8069792018126	11.45720490269	18.1732362674698	10.6943056366941	14.4505503839197	714	0.253283259319832	0.00708730882796759	94	SpA	0.161311307338179
Caproate	HC	38	SpA	56	0.00111364320582981	0.000595183621978339	0.00103712244583403	0	0.00126930495649209	0.00109821791879222	1344	0.213538011657536	0.0145726506577883	94	HC	0.167585482564565
Gamma_Alpha_Aminobutyric_acid	HC	38	SpA	56	15.5824093672789	23.3393689115371	12.5010567070755	16.9197320924932	11.1276569047107	22.853399957771	812	0.197160803750844	0.0526628521140915	94	SpA	0.346070171035458
Phenylpropionic_acid	HC	38	SpA	56	40.4401162032292	30.3787191954444	35.354279839119	19.5230601681888	33.9428733602725	32.8794203290574	1317	0.147384841438736	0.0517284448762694	94	HC	0.346070171035458
Kynurenine	HC	38	SpA	56	0.026903927702012	0.0300089662484083	0.0173018571867064	0.0243144079381614	0.0468338766857533	0.0249487648289816	798	0.0432186372502206	0.0408018550974685	94	SpA	0.346070171035458
E2Pentanone	HC	38	SpA	56	1.54246066779108	2.23020475117984	1.22647473140953	1.48828061568674	1.01944110746156	2.01485140210444	832	0.197192784975358	0.0744909961265877	94	SpA	0.428323227727879
E1_3Propanediol	HC	38	SpA	56	2.49953645697997	1.36644025011043	0.757070609127465	0.249663615032589	4.8406009605615	2.95969959270033	1270.5	0.144467538443569	0.111226046790362	94	HC	0.504135803165163
Pyruvic_acid	HC	38	SpA	56	5.4578469309314	7.46471580974881	4.70666017499373	5.29989736465333	3.79631574096352	6.51319835249733	862	0.174641499976697	0.120554213800365	94	SpA	0.504135803165163
Maleic_acid	HC	38	SpA	56	5.69443683053945	10.6891632768829	4.53314115414102	5.39254691914364	6.21904332183287	19.2401503920131	852	0.158093948092682	0.103207996242018	94	SpA	0.504135803165163
E3Heptanone	HC	38	SpA	56	2.46554835472702	3.19780590038909	2.26015725969033	2.51689616083593	1.7180017744871	2.49481311754115	898	0.160938004047004	0.202277215021263	94	SpA	0.715750145459852
Tryptophan	HC	38	SpA	56	43.2821447151321	50.8135600243022	36.7896939073027	44.0887841692523	28.3226344532405	32.5768739177829	898	0.119252978338475	0.202277215021263	94	SpA	0.715750145459852
Butyrate	HC	38	SpA	56	0.0145585654793482	0.0136214205952589	0.0150793191194556	0.0120180810831241	0.0067357861784243	0.00903463016978285	1221	0.0563809913308228	0.227913814183368	94	HC	0.748859675173923
Acetate	HC	38	SpA	56	0.0447530037269312	0.0413698011375145	0.0440180186937215	0.0383385439892587	0.0157117975489541	0.0174971722910861	1207	0.0988593601260397	0.272253581062999	94	HC	0.83491098192653
Acetophenone	HC	38	SpA	56	2.33364124786927	3.11638188618636	1.88211025743511	2.14238056630397	1.33692133434938	2.73935307457262	944	0.166884051865022	0.357215080001503	94	SpA	0.864836509477324
Indole_acrylic_acid	HC	38	SpA	56	0.0271403192692584	0.0271884671643326	0.016429940045564	0.00881026347112705	0.0430633434015635	0.0500315339845871	1196	0.000501694674236221	0.306940784431396	94	HC	0.864836509477324
isoValerate	HC	38	SpA	56	0.00274831563327739	0.00318690006658374	0.00241284371531782	0.00284689716289623	0.00151024032212009	0.00195931762570218	940	0.119860060192286	0.341342337936111	94	SpA	0.864836509477324
isoButyrate	HC	38	SpA	56	0.00175876731981494	0.0021437985764532	0.00160672169789648	0.00197829919209502	0.00100431122182824	0.0014542698638372	935	0.145429327515686	0.322126965657032	94	SpA	0.864836509477324
Methyl_2_cyclohexenone	HC	38	SpA	56	0.127424955475707	0.163933827532444	0.098093127022814	0.106914967727388	0.0862010035059465	0.177652527490936	981	0.120943840855128	0.525024700045557	94	SpA	0.879124763960399
Serotonin	HC	38	SpA	56	0.420931526999391	0.282324042145917	0.209923817103048	0.15077725926352	0.976009640280432	0.419971610989088	1153	0.0973746918742724	0.495336351566053	94	HC	0.879124763960399
DCA	HC	38	SpA	56	1449.89573521468	1741.12088437893	1283.24791492015	1349.76045042172	1108.6093277483	1395.24954425372	969	0.110895972863668	0.466569012433403	94	SpA	0.879124763960399
E3OH_kynurenine	HC	38	SpA	56	0.0622463992490272	0.0743242720865144	0.0426703663153047	0.0535537819335121	0.0731461722570198	0.0810005640494499	955	0.0762382863164328	0.402571888677889	94	SpA	0.879124763960399
Indole_propionic_acid	HC	38	SpA	56	14.0914790252589	16.0373053312764	3.22704911396284	3.09406689715749	54.3322190306592	60.4652034317162	1145	0.0165290742219881	0.535119421541113	94	HC	0.879124763960399
Indole_lactic_acid	HC	38	SpA	56	0.164395818520047	0.287438030945116	0.0940075387889907	0.101551378816302	0.195824969096503	0.869034752215874	955	0.0884944077880397	0.403191213878743	94	SpA	0.879124763960399
Indole_ethanol	HC	38	SpA	56	0.0840814349501054	0.0942200196384345	0.0738787606245029	0.080700199697237	0.0542508329782319	0.087970361030458	976	0.0654858595329498	0.500221358923122	94	SpA	0.879124763960399
E3indole_acetic_acid	HC	38	SpA	56	3.00846335824219	5.47386084293774	1.62170324787907	2.32998930511531	3.49105479684481	13.1896478298582	965	0.115773681890233	0.447917933899714	94	SpA	0.879124763960399
Lactic_acid	HC	38	SpA	56	23.7023822542172	26.2838898179052	19.0806056898239	12.6067299062134	21.8479230087923	30.5152929674383	1148	0.0465010405948311	0.520014145454077	94	HC	0.879124763960399
E2_3Pentanedione	HC	38	SpA	56	7.87633835554437	4.08675592182772	1.28087756715415	1.36566806349137	21.2380835649859	7.04559277917996	1004	0.127634694474008	0.646653441853738	94	SpA	0.882384605130006
Dopamine	HC	38	SpA	56	0.478418504471794	0.481651459164136	0.268381819815568	0.314369067936986	0.52967330740513	0.721363563930113	1128	0.00244997785162983	0.620019673764955	94	SpA	0.882384605130006
Cholic_acid	HC	38	SpA	56	42.0702293017265	35.9250033421375	6.86522010427285	8.7789432376172	88.694520059882	93.4495908918045	999	0.0330951430818365	0.619232357522623	94	SpA	0.882384605130006
Phenylacetic_acid	HC	38	SpA	56	2.08425360171686	1.83561141143459	1.80833861819654	1.27560497679386	1.78396089012138	1.5165523346705	1131	0.0750787203568468	0.608407800232998	94	HC	0.882384605130006
Skatol	HC	38	SpA	56	3.23783308813212	2.78416095065637	0.762146455525607	0.929969798931279	7.17683113342519	5.06412303542463	999	0.0372574453592783	0.618521463328078	94	SpA	0.882384605130006
Succinic_acid	HC	38	SpA	56	109.983234561177	122.681967545283	29.2222826399439	39.7162466360167	217.940349020765	271.356400849427	1005	0.0249307749586283	0.652197316835222	94	SpA	0.882384605130006
UDCA	HC	38	SpA	56	964.11695397798	1174.66016413026	574.771862458538	645.341417401476	1284.19941349545	1281.9522537059	1012	0.0807112708837523	0.691529387399265	94	SpA	0.890892175711682
Propionate	HC	38	SpA	56	0.0155033773920364	0.0146928571403149	0.0136467750244651	0.0127230118305033	0.00870562294479701	0.00888338338815994	1115	0.0453343497733708	0.697219963600447	94	HC	0.890892175711682
GLCA	HC	38	SpA	56	46.2993027708261	59.7809989266957	43.8530960608738	40.1290117185317	38.6535314939114	61.4763170149183	1037	0.12341762647606	0.838094833426139	94	HC	0.940301520429326
Pantotenic_acid	HC	38	SpA	56	15.9468317907664	18.0686431111527	14.2883125004532	13.7986137822676	6.9751676856274	18.021651045273	1096	0.0714262863602153	0.80824482712219	94	HC	0.940301520429326
Fumaric_acid	HC	38	SpA	56	7.27519762196826	9.51099393230103	4.97631876389866	6.24678933449909	6.4903956184764	12.8838517232072	1032	0.10181005813513	0.80824482712219	94	SpA	0.940301520429326
Phenyllactic_acid	HC	38	SpA	56	9.25593491977405	20.1848608914737	3.25147866831131	2.70372285418146	14.0341026082417	64.1037940623716	1035	0.106467853539936	0.826200203378808	94	HC	0.940301520429326
Valeric_acid	HC	38	SpA	56	1830.63923543644	1952.38679793882	1393.84419686588	1557.61715481898	1264.73913784197	1906.96605274196	1092	0.0357657688999452	0.832206082385508	94	SpA	0.940301520429326
Putrescine	HC	38	SpA	56	9.31395962745819	21.9770072283893	6.81207846676515	6.5367102495229	9.25394239863775	52.1511699644318	1079	0.151544687108395	0.911049163228424	94	HC	0.966200069700068
Spermidine	HC	38	SpA	56	13.4176312575505	14.8955902156789	11.0253346993694	12.1148229155102	8.29148474225198	12.3459550854432	1051	0.0667623965956185	0.923277602910999	94	SpA	0.966200069700068
Aminovaleric_acid	HC	38	SpA	56	55.8240317946392	62.6545332024482	49.7580331514333	47.7543530763344	37.5074045949038	62.5923185194227	1058	0.0623748611874077	0.966200069700068	94	HC	0.966200069700068
LCA	HC	38	SpA	56	223.498512297463	243.831906191899	167.370617173055	177.452408616719	175.932934544738	245.20187945119	1055	0.0455588685472483	0.947785435589826	94	SpA	0.966200069700068
Valerate	HC	38	SpA	56	0.00262059494158639	0.00277054008086766	0.00254798519667203	0.00255249759457961	0.00147075373050964	0.00198420686419963	1076	0.0411711063064021	0.929393564596546	94	SpA	0.966200069700068
