Feature	log_ttest	log_wt	ACAT
Tryptamine	0.00444108974981416	0.000743781880974217	0.00127417632555143
E3OH_butyric_acid	0.00479779159808647	0.0132846893781059	0.00704993034181161
E2Pentanone	0.00867991279593661	0.0120331494285794	0.0100851942857105
Maleic_acid	0.0202369135609675	0.0184244281018434	0.01928823720645
E1_3Propanediol	0.0185873728430526	0.0358335402219661	0.0244831649012708
Phenylpropionic_acid	0.0328358725938057	0.0282885703168245	0.03039358943255
Methyl_2_cyclohexenone	0.0684259444128957	0.0610048737182696	0.0645055815110039
Gamma_Alpha_Aminobutyric_acid	0.0982007471775111	0.0912565565906027	0.0946051585535026
Indole	0.0825941345589727	0.134614888233382	0.102592712129417
E3Heptanone	0.101458306489972	0.140105866002431	0.117833160206769
Acetate	0.144472126988332	0.118640196454932	0.130359823246303
Kynurenine	0.154251365481882	0.114023774376073	0.131294719568837
Acetophenone	0.160952811533021	0.128078793300576	0.142773454770012
Pyruvic_acid	0.204207448323436	0.131036154968941	0.160325744202862
Propionate	0.140575281079439	0.237505839584372	0.177944975086282
E3OH_kynurenine	0.233779791508284	0.173311227191807	0.199660900270515
E3indole_acetic_acid	0.161246986007122	0.259574511054891	0.200493161680595
Caproate	0.206384814081168	0.304395643647574	0.247981412224937
Indole_lactic_acid	0.239878172011317	0.309605100191556	0.271448792903206
Pantotenic_acid	0.20305568337178	0.431788102755777	0.288491770214289
GLCA	0.270514433162494	0.347683671742826	0.305869618474211
Valerate	0.325648102183298	0.358553955581312	0.341639966401631
Valeric_acid	0.363649709885697	0.322258889103244	0.342228718194657
Cholic_acid	0.532779205590248	0.233159566448671	0.351337488444931
Indole_acrylic_acid	0.469573513549799	0.318015244847452	0.38729810506409
Skatol	0.438173161306699	0.358641254415113	0.396748292939127
isoButyrate	0.359864556511285	0.596010190721477	0.47459461274296
DCA	0.353511524050793	0.615951622244342	0.481809654532546
isoValerate	0.525977861809671	0.473787038812755	0.499881656716971
Dopamine	0.357668659615893	0.658792058382255	0.510386241040773
LCA	0.438681138410061	0.615174968053677	0.529113779604918
Lactic_acid	0.586605891543984	0.482382211990037	0.535439045968239
Butyrate	0.488482918081426	0.593444438754826	0.542103992606335
Phenylacetic_acid	0.634978115467132	0.469996082769349	0.556209838330636
Serotonin	0.528621176202204	0.643380385391026	0.588928546861776
Indole_ethanol	0.621483451233269	0.661606526399865	0.642149073243622
Aminovaleric_acid	0.559001503933521	0.770761021216498	0.686498040276504
UDCA	0.717077240044677	0.670723665959235	0.695081962776524
Putrescine	0.561601653425709	0.790013197167287	0.703328370945956
Spermidine	0.354992768585439	0.864904860738101	0.726366720952216
Indole_propionic_acid	0.961361914745884	0.733976051877529	0.931149878341737
Succinic_acid	0.975608182840567	0.692763248386449	0.953912670370418
E2_3Pentanedione	0.977746407327833	0.604386476795766	0.956726121923915
Tryptophan	0.830802718709174	0.978189963450281	0.961072765224008
Fumaric_acid	0.915807480527207	0.981506286567101	0.96960990230347
Phenyllactic_acid	0.98654535596994	0.837964120068643	0.975022752766614
