Feature	log_ttest	log_wt	ACAT
Tryptamine	0.110349206755989	0.034213966524814	0.0586121109753659
E2Pentanone	0.133091996204361	0.203698570464291	0.154639645714227
E3OH_butyric_acid	0.110349206755989	0.203698570464291	0.154639645714227
Maleic_acid	0.186179604760901	0.211880923171199	0.221814727874175
E1_3Propanediol	0.186179604760901	0.274723808368407	0.225245117091691
Phenylpropionic_acid	0.251741689885844	0.260254846914786	0.233017518982883
Methyl_2_cyclohexenone	0.449656206141886	0.400889170148629	0.423893821358026
Acetate	0.494490757088509	0.460347845436559	0.503296425013877
E3Heptanone	0.46670820985387	0.460347845436559	0.503296425013877
Gamma_Alpha_Aminobutyric_acid	0.46670820985387	0.460347845436559	0.503296425013877
Indole	0.46670820985387	0.460347845436559	0.503296425013877
Kynurenine	0.494490757088509	0.460347845436559	0.503296425013877
Acetophenone	0.494490757088509	0.460347845436559	0.505198378416965
Pyruvic_acid	0.52742785820743	0.460347845436559	0.526784588095117
E3indole_acetic_acid	0.494490757088509	0.659899908123808	0.542510908076904
E3OH_kynurenine	0.55171979562603	0.531487763388207	0.542510908076904
Propionate	0.494490757088509	0.642662860051829	0.542510908076904
Caproate	0.52742785820743	0.659899908123808	0.633730275685949
Indole_lactic_acid	0.55171979562603	0.659899908123808	0.657191814397235
Pantotenic_acid	0.52742785820743	0.763932797183297	0.663531071492866
GLCA	0.592555425022605	0.659899908123808	0.670000116657795
Cholic_acid	0.717602112710629	0.642662860051829	0.673396852852785
Valerate	0.61955135758304	0.659899908123808	0.673396852852785
Valeric_acid	0.61955135758304	0.659899908123808	0.673396852852785
Indole_acrylic_acid	0.717602112710629	0.659899908123808	0.701939287507686
Skatol	0.695839047133201	0.659899908123808	0.701939287507686
Butyrate	0.717602112710629	0.811928648266442	0.752519193035566
DCA	0.61955135758304	0.811928648266442	0.752519193035566
Dopamine	0.61955135758304	0.811928648266442	0.752519193035566
isoButyrate	0.61955135758304	0.811928648266442	0.752519193035566
isoValerate	0.717602112710629	0.765157991432473	0.752519193035566
Lactic_acid	0.729293811108737	0.765157991432473	0.752519193035566
LCA	0.695839047133201	0.811928648266442	0.752519193035566
Phenylacetic_acid	0.748948546448412	0.765157991432473	0.752519193035566
Serotonin	0.717602112710629	0.811928648266442	0.774020375875476
Indole_ethanol	0.748948546448412	0.811928648266442	0.820523815811295
Aminovaleric_acid	0.717602112710629	0.864756267706315	0.829566796500358
Putrescine	0.717602112710629	0.865252549278458	0.829566796500358
UDCA	0.824638826051379	0.811928648266442	0.829566796500358
Spermidine	0.61955135758304	0.904218718044378	0.835321729095049
E2_3Pentanedione	0.98654535596994	0.811928648266442	0.975022752766614
Fumaric_acid	0.98654535596994	0.981506286567101	0.975022752766614
Indole_propionic_acid	0.98654535596994	0.844072459659158	0.975022752766614
Phenyllactic_acid	0.98654535596994	0.896426733096687	0.975022752766614
Succinic_acid	0.98654535596994	0.817105369891709	0.975022752766614
Tryptophan	0.932120123429805	0.981506286567101	0.975022752766614
