Feature	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.HC	rab.win.SpA	diff.btw	diff.win	effect	overlap
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	0.00291764576125518	0.151115742679574	0.00129774079331387	0.193772518121108	4.20852821692095	5.15043905185659	3.31132696874199	-1.70312555583321	4.63735910266364	-0.331475542713184	0.320333335243563
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.00434860773200427	0.253092581021763	0.0534585715203878	0.510459077720501	6.85374091940462	7.05136867301754	6.66969885189062	-0.586560384231224	2.29129609090518	-0.202357053527989	0.386666667772884
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	0.0181289932257193	0.276678005747767	0.00312597707833	0.241968536784515	3.3608863770005	4.1616788011515	2.85901849130077	-1.27151736442059	3.67124344400328	-0.289298400912278	0.328890371670023
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	0.0248695025177426	0.327490989595185	0.023875149390135	0.405481752528792	2.67508631661703	3.48557378913576	2.1494350866232	-1.28947327149002	4.28348492235482	-0.268764993208646	0.370209931311054
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	0.0287127096165836	0.345642992201514	0.0150208493295692	0.355139898233267	1.89184527074063	2.92739360651367	1.47352491467757	-1.33313356251591	3.96584393278811	-0.301531747017086	0.347884040204891
Ruminococcus__gnavus__ref_mOTU_v25_01594_	0.0496149012813306	0.366231861561712	0.0443830247773236	0.362860731701874	-0.307317527874761	-1.18607629697701	0.178771533905286	1.70014351039374	4.93037936282359	0.316468231044612	0.347000001563022
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	0.0273196895931977	0.36922586518712	0.0469351567285649	0.496080553633416	5.8594891101024	6.23550034534889	5.58208622120896	-0.76902989661756	3.10589329238554	-0.204731412864161	0.384871710555124
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12239_	0.0189659773786433	0.382014730481409	0.247990906959849	0.732302203152012	6.35595855371787	6.50660034073994	6.2669113306753	-0.327997802341085	2.04687179875542	-0.116635303651661	0.431333333981358
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	0.0586126621225734	0.400343717384655	0.0119723597311975	0.32936008151126	2.03231920749957	3.00812019385776	1.36562889893612	-1.40083981567971	4.5040121710797	-0.267332736754116	0.349883373735919
Bacteroides_rodentium_uniformis__ref_mOTU_v25_00855_	0.0358223445339065	0.422023251324655	0.0357839710691762	0.461166467712805	3.90608427314059	5.23009798057503	3.33693038357201	-1.23095973059852	3.98101440605879	-0.270422215977337	0.375333334564172
Eubacterium__rectale__ref_mOTU_v25_03657_	0.0369655038539376	0.443745861773973	0.0519902297517274	0.507517342749664	6.87655440681881	7.28888619617451	6.59991405422745	-0.605034291753381	2.83012352982279	-0.179654244497872	0.394000001027669
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.0685263295781742	0.477469174492933	0.0108642392918931	0.332797100936077	3.15928824714399	4.07890097436643	2.81343536509561	-1.05111134166243	3.16551375431048	-0.271883410151597	0.361000001394835
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.0842567492031692	0.483591460538386	0.0194187044650804	0.365865161124229	3.03730915122409	3.67892685722651	2.7318846550974	-0.853611739148853	2.69789334520783	-0.259985949789201	0.353882040798518
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	0.090803800663669	0.484426295768163	0.127042553099699	0.571286852286008	1.49649589520576	1.8883907739676	1.30614228170679	-0.611130089774804	2.7680654330947	-0.176028150289639	0.405000000912573
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	0.0558443165678507	0.484934717959553	0.163747656684868	0.663160379952209	6.71294523720362	6.93029802140117	6.61304426161361	-0.385059046804019	2.65409259143629	-0.104261422038141	0.424525158995232
Eubacterium__siraeum__ref_mOTU_v25_02370_	0.0741167149368909	0.497282758335653	0.0517055840386394	0.456066546078123	1.50887058611866	0.68796789227434	1.97877017082822	1.53428506903305	5.19187948594999	0.258425205366844	0.372875709354886
Ruminococcus_bicirculans__ref_mOTU_v25_02792_	0.0682556009939565	0.499356248011757	0.0655769341047652	0.526466297053341	3.62028657822642	4.37392981278252	3.2238138413705	-1.12171447578394	5.02000359557768	-0.196096038018212	0.395333334346884
