Feature	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.HC	rab.win.SpA	diff.btw	diff.win	effect	overlap
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	0.00346580955379002	0.154294190538341	0.00153429493777537	0.197427396368855	4.25013139398151	5.15091778594866	3.36770259414566	-1.62197402241019	4.58938074448738	-0.331226694459796	0.321666668558573
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	0.0115146895626863	0.255679586858124	0.00345339304304693	0.229502284607628	3.32645790124083	4.1583262518823	2.84429534789483	-1.23654043756411	3.69627741081348	-0.303087423780908	0.330333335108756
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.0045850138123091	0.263163468271108	0.0549570307866679	0.513976319748857	6.84884357762066	7.05934301155135	6.67839662403694	-0.576781851299888	2.32538093225789	-0.203769572796564	0.386871044088943
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	0.0337958043558894	0.332283020520148	0.0113646748634411	0.313007616971816	2.03931311980317	3.04307470977835	1.36522382834428	-1.37625367876947	4.44438288024794	-0.282927331259833	0.351666668172668
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	0.0366980839566427	0.340976306685223	0.0173463481865769	0.344441018716022	1.87817398384774	2.90903513453838	1.49647708819929	-1.32950632965836	3.90460093953541	-0.290910082405995	0.357333334771401
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	0.0265644356870767	0.35155590455429	0.0238062301213258	0.408200334491717	2.66024471971904	3.50331275519568	2.1512946919918	-1.17698395802572	4.20381650248347	-0.243922207738155	0.372000001268305
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	0.0215832296813941	0.36330740350786	0.0498032197569627	0.50263199440935	5.86975140690264	6.24238206351664	5.592781381921	-0.720600028525261	3.10980117415703	-0.183219282716138	0.387870710855898
Ruminococcus__gnavus__ref_mOTU_v25_01594_	0.0416066864584768	0.363905638999681	0.0362283995779053	0.353533868353351	-0.331051972792936	-1.23730839958097	0.165843652274745	1.58907058916679	4.88425666205757	0.296533980645854	0.356214596585358
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12239_	0.0200705812763982	0.386208449752319	0.265957246402153	0.758895276691002	6.35993447593492	6.48644133067429	6.2807529089877	-0.256422871838174	2.01527928113847	-0.0933977428153101	0.443333333864852
Bacteroides_rodentium_uniformis__ref_mOTU_v25_00855_	0.0390686533042541	0.434168866711008	0.0408980171795361	0.476686493988294	3.92105780398814	5.23566277160692	3.34664111063941	-1.27479534621295	4.07428976944179	-0.272821665437086	0.381000001168012
Eubacterium__rectale__ref_mOTU_v25_03657_	0.0349247010000125	0.44882175774965	0.0555991802494278	0.518405083980815	6.87144299576472	7.28524646778353	6.6076357779739	-0.589904818793085	2.93035570600219	-0.170424687109175	0.38920359987855
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	0.0836830751367442	0.471403661087479	0.12456542516787	0.565799689963835	1.50116705907233	1.88424599322057	1.29051838148692	-0.606994388169548	2.7683371870739	-0.175813999706942	0.403000000933273
