Feature	beta	se	W	p.value	q.value	diffabn
Tyzzerella_nexilis__ref_mOTU_v25_03689_	0.238102712467175	0.0836645837589357	2.84592000305918	0	0	TRUE
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	-1.17435856018303	0.272384360228565	-4.31140231104895	1.62222441620188e-05	0.0101875693337478	TRUE
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	-0.856324160726779	0.223865486917141	-3.82517275225962	0.000130680417913464	0.0281287019755255	TRUE
Ruminococcus__gnavus__ref_mOTU_v25_01594_	0.5239069298231	0.137209362002234	3.81830308207812	0.000134372780137861	0.0281287019755255	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	-0.407947927545333	0.111747996402266	-3.65060619142395	0.000261622114060189	0.0328597375259597	TRUE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	-0.769770792741727	0.210439808475978	-3.65791433814955	0.000254275995462036	0.0328597375259597	TRUE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	-0.763139840461209	0.21473153300753	-3.55392535866844	0.000379526911749358	0.0397238167630995	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	-0.598346589400037	0.172837564003537	-3.46190131091985	0.000536373797676213	0.0424296793420017	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	-0.486432393463634	0.140594081136429	-3.45983550325715	0.000540505469324862	0.0424296793420017	TRUE
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	-0.705148132047177	0.208514316600075	-3.38177322087496	0.00072019573294047	0.0452282920286615	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	-0.689775856134777	0.203565619446368	-3.38846932016684	0.000702838911082676	0.0452282920286615	TRUE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_18125_	-0.528407516220953	0.160522465914417	-3.29179790013116	0.000995491220213754	0.0543687890232874	TRUE
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	-0.814716210332618	0.248406025910606	-3.27977635544884	0.00103889405776982	0.0543687890232874	TRUE
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	-0.368044773297537	0.114804039718912	-3.20585211285825	0.00134663177800281	0.0650526735835205	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	-0.75844781859253	0.238433893387234	-3.18095639767437	0.0014678972079359	0.0658456747559816	TRUE
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	-0.529610019506907	0.168010435042691	-3.15224479582077	0.00162020380635243	0.0677212048329313	TRUE
Mogibacterium_sp__BX12__mags_db_all_26_	0.328830212601508	0.10492902729374	3.13383456496719	0.00172538101485175	0.0677212048329313	TRUE
Eubacterium__eligens__ref_mOTU_v25_02376_	-0.700238878470567	0.2259983464029	-3.09842478768501	0.00194552345874101	0.0678771517827421	TRUE
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17316_	-0.403504020281921	0.130035449480714	-3.10303091882469	0.00191549627175299	0.0678771517827421	TRUE
Odoribacter_splanchnicus__ref_mOTU_v25_03697_	-0.345734706823458	0.112819882227856	-3.06448384802599	0.00218045948064654	0.0704697795515839	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13012_	0.359389368521995	0.118174040947986	3.04118709692071	0.00235647352003704	0.0704697795515839	TRUE
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12239_	-0.599072003105329	0.19653645660345	-3.04814696193527	0.00230257289697669	0.0704697795515839	TRUE
uncultured_Blautia_sp___ref_mOTU_v25_11916_	-0.263234023073541	0.0875304135874754	-3.00734353106275	0.00263541756417599	0.0743748237011397	TRUE
Eubacterium__rectale__ref_mOTU_v25_03657_	-0.748220390262863	0.249632336528899	-2.99728953655106	0.00272391870243028	0.0743748237011397	TRUE
Eubacterium_species_incertae_sedis__ext_mOTU_v26_16236_	-0.581148441127798	0.196126465050469	-2.96313116630257	0.00304526772819273	0.0796845055543764	TRUE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18129_	-0.446947998469827	0.15374269704329	-2.90711693670872	0.00364776807901833	0.0911643354916144	TRUE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_16292_	0.173612394185221	0.0599400817515226	2.89643238901339	0.00377431962226429	0.0911643354916144	TRUE
Bacteroides_rodentium_uniformis__ref_mOTU_v25_00855_	-0.79745770591936	0.283155744607716	-2.8163218338521	0.00485769779265861	0.108951221921057	FALSE
Eubacteriaceae_bacterium_CHKCI005__ref_mOTU_v25_09413_	0.166437403061239	0.0594559785077702	2.79933838847657	0.00512074427556658	0.110890600174338	FALSE
unassigned	-0.249619007846805	0.0916811569909182	-2.72268605719638	0.00647535597373891	0.135550785050268	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26398_	-0.354255804463098	0.13413846560298	-2.6409710508514	0.00826687828032501	0.157321198789215	FALSE
Eubacterium_ventriosum__ref_mOTU_v25_11151_	-0.448128071058701	0.168586570495387	-2.65814809413282	0.00785713583918193	0.157321198789215	FALSE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26216_	-0.57093186433751	0.21559548310698	-2.64816245734707	0.00809306233492344	0.157321198789215	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	-0.664680776984068	0.252876701954108	-2.62847771996289	0.00857679736534481	0.158418492512839	FALSE
Clostridium_species_incertae_sedis__ext_mOTU_v26_17427_	-0.332172674351022	0.127854815538661	-2.59804586124939	0.00937559711392918	0.168224999644215	FALSE
Bifidobacterium_species_incertae_sedis__ext_mOTU_v26_26736_	-0.430572260653355	0.166931838902846	-2.57932976407183	0.0098992236989764	0.171975728810955	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12522_	-0.391946996900611	0.152432621199798	-2.57128030611554	0.0101323279713461	0.171975728810955	FALSE
Oscillibacter_sp___ref_mOTU_v25_04664_	-0.697357701460142	0.272893759331892	-2.55541828133937	0.010606026165965	0.175278537690158	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	-0.696762178641663	0.27410379902011	-2.54196469050232	0.0110231308683051	0.177500671417836	FALSE
Clostridiales_species_incertae_sedis__mags_db_all_139_	-0.378073245347107	0.152357283955027	-2.48149110782723	0.0130833974677147	0.20540934024312	FALSE
Clostridia_species_incertae_sedis__ext_mOTU_v26_26753_	-0.165855028460352	0.0670820939873667	-2.47241877231183	0.0134202207405761	0.205558503050776	FALSE
Bacteroides_dorei_vulgatus__ref_mOTU_v25_02367_	-0.510994611902468	0.207568411652603	-2.46181298895178	0.0138236724632825	0.206696816831939	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	-0.703268363962256	0.287304495408372	-2.44781538472844	0.0143725277432869	0.209905754018237	FALSE
Bifidobacterium_ruminantium__ref_mOTU_v25_02702_	-0.668892845564935	0.275628535146289	-2.42679098958286	0.0152330288813903	0.217416866761661	FALSE
Intestinibacter_bartlettii__ref_mOTU_v25_03687_	0.151313919928851	0.0628434088037626	2.40779300183015	0.0160492779416183	0.223976589940806	FALSE
Firmicutes_bacterium_CAG_102__ref_mOTU_v25_07726_	-0.47401392424683	0.199469341148815	-2.37637484295489	0.0174836915522249	0.238690397712984	FALSE
Ruminococcus_sp__CAG_177__meta_mOTU_v25_12400_	-0.847296168150758	0.363028002204935	-2.33396917869836	0.0195973358508365	0.259722743206878	FALSE
Sutterella_wadsworthensis__ref_mOTU_v25_03066_	-0.622729057531915	0.267363874423429	-2.32914435009155	0.0198514198629461	0.259722743206878	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26520_	-0.333165858556529	0.144603711360886	-2.30399244542935	0.0212230676650973	0.263012620292802	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17503_	-0.319094438388037	0.138641937007697	-2.30157227513578	0.021359305151167	0.263012620292802	FALSE
Ruminococcus_bicirculans__ref_mOTU_v25_02792_	-0.707826026615685	0.305647123050273	-2.31582754501917	0.020567686633032	0.263012620292802	FALSE
uncultured_Eubacterium_sp___meta_mOTU_v25_13063_	0.140541735922342	0.0615806775002864	2.28223757235682	0.0224753179711759	0.271432686267278	FALSE
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17315_	-0.32736283896398	0.145003983113826	-2.2576127354171	0.0239698139664679	0.284019682470601	FALSE
uncultured_Clostridium_sp___ref_mOTU_v25_06391_	-0.226834581989829	0.102003363689907	-2.22379511600629	0.026162232157673	0.298725123545794	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12631_	-0.389906409500799	0.1752195800425	-2.22524451551719	0.0260648279502727	0.298725123545794	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	-0.538013320224423	0.242926973508938	-2.21471215177604	0.0267798282487071	0.300316645360501	FALSE
Eggerthella_lenta__ref_mOTU_v25_00719_	0.343803418873606	0.15643530812509	2.19773542810866	0.0279679653187541	0.306756187993634	FALSE
Streptococcus_sanguinis_cristatus__ref_mOTU_v25_01591_	0.157242643089113	0.0719334052101505	2.18594744166129	0.0288194507828414	0.306756187993634	FALSE
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	-0.576932643714407	0.26337379666585	-2.19054686160134	0.0284846001156505	0.306756187993634	FALSE
Parabacteroides_distasonis__ref_mOTU_v25_03640_	-0.369024568998612	0.171348864054723	-2.15364467710016	0.0312680477552605	0.312059340088194	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_16177_	-0.286370883589847	0.132403879103739	-2.16285871326682	0.030552048112394	0.312059340088194	FALSE
Prevotella_sp__CAG_279__meta_mOTU_v25_12279_	0.48252002496712	0.222817021247777	2.16554382723997	0.0303460628469922	0.312059340088194	FALSE
