Feature	baseMean	log2FoldChange	lfcSE	stat	p.value	q.value
Ruminococcus__gnavus__ref_mOTU_v25_01594_	1.76744186046512	-3.01379601001178	0.75064643607228	-4.01493414900006	5.94623943902184e-05	0.0274121638138907
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	2.12403100775194	0.836615030174605	0.265013518809651	3.15687680361511	0.00159468704786285	0.245050243021592
Mogibacterium_sp__BX12__mags_db_all_26_	1.17829457364341	-1.73462451259591	0.536429613806633	-3.23364793432376	0.00122220019550626	0.245050243021592
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13012_	1.17054263565891	-2.96000607612646	1.01074025897704	-2.92855266210754	0.0034054413935422	0.261651413737159
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	7.51162790697674	0.900048456844558	0.297513497064343	3.02523571443182	0.00248439423397581	0.261651413737159
Bacteroidales_species_incertae_sedis__meta_mOTU_v25_12262_	2.27131782945736	0.946647298201665	0.322472289272532	2.93559269956875	0.0033291112441253	0.261651413737159
Eubacterium__eligens__ref_mOTU_v25_02376_	7.12403100775194	1.18834296175798	0.465489086830119	2.55289113188526	0.0106832883196853	0.32103112292637
uncultured_Blautia_sp___ref_mOTU_v25_11916_	1.29457364341085	0.71858983375173	0.278391260625595	2.58122267249672	0.00984510571318759	0.32103112292637
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12251_	6.54263565891473	-2.08188310229278	0.769482171714313	-2.70556379188695	0.00681885501548491	0.32103112292637
Bacteroides_cellulosilyticus_fragilis__ref_mOTU_v25_01597_	1.30232558139535	-2.14232599903362	0.833781902036351	-2.56940813155263	0.0101872399034069	0.32103112292637
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	4.24806201550388	0.761777623064396	0.278628260241463	2.73402856696671	0.00625646161101305	0.32103112292637
Eubacterium_species_incertae_sedis__ext_mOTU_v26_16236_	6.02325581395349	1.08323423937533	0.395754823633145	2.73713464672627	0.00619769201936353	0.32103112292637
Eubacterium_sp__CAG_38__ref_mOTU_v25_07679_	4.04651162790698	1.39759583831445	0.530989004505424	2.63206173095091	0.00848684410188718	0.32103112292637
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18129_	1.42635658914729	1.50045503869517	0.591146689307571	2.53821101570017	0.0111420780191365	0.32103112292637
Bifidobacterium_species_incertae_sedis__ext_mOTU_v26_26736_	1.22480620155039	2.18128402208033	0.812563887082265	2.68444617925716	0.00726500794076655	0.32103112292637
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	10.1860465116279	0.898417664907907	0.348358834195203	2.5790006645977	0.00990865960431455	0.32103112292637
Eggerthella_lenta__ref_mOTU_v25_00719_	2.17829457364341	-1.4796550837388	0.630490214442189	-2.34683274989111	0.0189337515917036	0.325793299734852
Streptococcus_parasanguinis__ref_mOTU_v25_00312_	2.75193798449612	-1.00373584894987	0.428225659354071	-2.34394139403951	0.0190811693987875	0.325793299734852
Odoribacter_splanchnicus__ref_mOTU_v25_03697_	3.65891472868217	0.596807710722241	0.240446419089781	2.48208192486908	0.0130617241271111	0.325793299734852
Prevotella_sp__CAG_279__meta_mOTU_v25_12279_	7.50387596899225	-3.23850652624103	1.33017314267532	-2.43465036418309	0.0149061851762906	0.325793299734852
Bacteroides_species_incertae_sedis__ext_mOTU_v26_17779_	5	1.24778066983282	0.506888342363616	2.46164799137899	0.0138300327974209	0.325793299734852
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_18125_	2.86821705426357	0.997685751279168	0.397796598903898	2.50802986759621	0.0121406404629274	0.325793299734852
Bacteria_species_incertae_sedis__ext_mOTU_v26_16372_	0.426356589147287	1.95639206558381	0.807642241116768	2.42234985490433	0.0154204966577875	0.325793299734852
Sutterella_wadsworthensis__ref_mOTU_v25_03066_	5.32558139534884	1.68471304332218	0.717063674019957	2.34946086987986	0.0188006201049071	0.325793299734852
Eubacterium__rectale__ref_mOTU_v25_03657_	96.8992248062015	0.756122605855553	0.31551921977221	2.39643913420374	0.0165552427871407	0.325793299734852
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17316_	1.48062015503876	0.987446639740081	0.421040562925664	2.34525299149008	0.0190141727853265	0.325793299734852
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12522_	2.68217054263566	0.835629104963641	0.345737898147317	2.4169439030013	0.0156514290236601	0.325793299734852
Clostridiales_species_incertae_sedis__mags_db_all_139_	0.868217054263566	2.35468085588181	1.02926151980337	2.28773816039645	0.022152773998615	0.340414293778717
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	12.1472868217054	0.960173120649412	0.416601124754473	2.30477803250122	0.0211790080152599	0.340414293778717
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	5.69767441860465	1.13417572375433	0.493480836652198	2.298317664063	0.0215437158207395	0.340414293778717
Faecalicatena_contorta__ref_mOTU_v25_03445_	0.713178294573643	0.965360057418912	0.42880670970784	2.25127087698008	0.0243683861792725	0.359142027874129
