Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17316_	HC	40	SpA	89	2.25	1.13483146067416	1.5	0	2.85324826137258	2.55925686673067	2408	0.191540068127726	0.000669921692066999	129	HC	0.0401331929509467
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	HC	40	SpA	89	14.975	8.03370786516854	15	4	13.5334106982758	12.4548725753511	2452	0.244204316693335	0.000598372308301621	129	HC	0.0401331929509467
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	HC	40	SpA	89	9.125	4.15730337078652	6	0	10.7731563358144	7.03546030736197	2418.5	0.265823584050863	0.000693479185587867	129	HC	0.0401331929509467
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	HC	40	SpA	89	5.925	3.49438202247191	6	3	4.48580381842941	3.79030940061631	2431.5	0.270432155716481	0.000845104718468521	129	HC	0.0401331929509467
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	HC	40	SpA	89	11.05	5.92134831460674	10.5	3	8.47000741682235	6.74237737796126	2432	0.309394346153362	0.000870568176810123	129	HC	0.0401331929509467
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	HC	40	SpA	89	18.275	9.39325842696629	14.5	4	19.0087530445238	14.3421010708208	2451	0.250695978107586	0.000566159154066568	129	HC	0.0401331929509467
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	HC	40	SpA	89	10.125	5.29213483146067	5	1	14.7859730826212	11.1367555329097	2437	0.178445361361079	0.0006425529318613	129	HC	0.0401331929509467
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	HC	40	SpA	89	35.225	18.5280898876404	25.5	5	31.3274578506558	29.3203659779809	2514.5	0.250537329364228	0.000147724850579345	129	HC	0.0401331929509467
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	HC	40	SpA	89	1.775	0.966292134831461	1	0	1.88771330939355	2.08593470547513	2380.5	0.182123603713243	0.000780262791774781	129	HC	0.0401331929509467
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26470_	HC	40	SpA	89	0.425	0.0449438202247191	0	0	1.10679718105893	0.3340560772042	2095.5	0.253433084608932	0.000540797011864181	129	SpA	0.0401331929509467
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	HC	40	SpA	89	3.05	1.70786516853933	2.5	1	2.44896629160875	1.81660426965341	2413	0.293139680139876	0.000986378473752921	129	HC	0.0413382251272815
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_18125_	HC	40	SpA	89	4.375	2.19101123595506	3.5	1	3.93985226847859	3.15823744175587	2394	0.284404670138843	0.00120805475364432	129	HC	0.0464094367858359
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18129_	HC	40	SpA	89	2.575	0.910112359550562	1	0	3.9281201872051	1.92849711526761	2302.5	0.274740879328465	0.00176873987617557	129	HC	0.0569209300613126
Clostridia_species_incertae_sedis__ext_mOTU_v26_26753_	HC	40	SpA	89	0.45	0.123595505617978	0	0	0.814924882490751	0.393706879864066	2180	0.262060146518431	0.00185209099982579	129	SpA	0.0569209300613126
Clostridiales_species_incertae_sedis__mags_db_all_139_	HC	40	SpA	89	1.975	0.370786516853933	0	0	4.42885352994921	1.65407226449747	2167.5	0.255825034481806	0.00175516571000831	129	SpA	0.0569209300613126
Eubacterium__rectale__ref_mOTU_v25_03657_	HC	40	SpA	89	134.85	79.8426966292135	105	61	111.760630194798	85.7317299482419	2382	0.260879380372242	0.00218919123624911	129	HC	0.0593657152888729
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26398_	HC	40	SpA	89	1.575	0.550561797752809	0	0	2.4691688625517	1.67203765151071	2227	0.23673861402856	0.00212513872392981	129	SpA	0.0593657152888729
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	HC	40	SpA	89	15.4	8.73033707865168	8	2	17.1326648577565	13.5325903293291	2365.5	0.205692092775361	0.00254455264707723	129	HC	0.065168820572367
Ruminococcus__gnavus__ref_mOTU_v25_01594_	HC	40	SpA	89	0.25	3.64044943820225	0	0	0.707106781186548	12.7254640842425	1291	0.146896418604248	0.00272733968644778	129	SpA	0.0661738734448645
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	HC	40	SpA	89	70.475	45.2359550561798	58	25	60.4211660570392	53.8917312075184	2353	0.204884015473482	0.00353386212162143	129	HC	0.080620464448934
Eubacterium__eligens__ref_mOTU_v25_02376_	HC	40	SpA	89	11.625	5.10112359550562	6	1	14.9489515968898	11.2906285997606	2340	0.234975345018529	0.0036725157341163	129	HC	0.080620464448934
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26512_	HC	40	SpA	89	1.175	0.258426966292135	0	0	2.61050638569293	1.15333597060125	2082	0.238032380841041	0.00446167271423783	129	SpA	0.0894274400549409
Eubacterium_species_incertae_sedis__ext_mOTU_v26_16236_	HC	40	SpA	89	9.475	4.47191011235955	4.5	2	13.852681865682	7.43622871127387	2335	0.229257891279589	0.00429139631067783	129	HC	0.0894274400549409
uncultured_Blautia_sp___ref_mOTU_v25_11916_	HC	40	SpA	89	1.775	1.07865168539326	1	1	1.60906885001934	1.16993316729402	2305	0.237800093361711	0.00469715213882971	129	SpA	0.0902244640000208
Bifidobacterium_species_incertae_sedis__ext_mOTU_v26_26736_	HC	40	SpA	89	2.65	0.584269662921348	0	0	5.0917227954437	1.76331936959328	2187.5	0.288645948940115	0.00510682843745174	129	SpA	0.0941038167656363
uncultured_Clostridium_sp___ref_mOTU_v25_11605_	HC	40	SpA	89	0.55	0.292134831460674	0	0	0.814924882490751	0.907071301084019	2174.5	0.134843548199002	0.00530750789495114	129	SpA	0.0941038167656363
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17445_	HC	40	SpA	89	0.825	0.303370786516854	0	0	1.66236624678846	0.970057336426593	2178	0.193940088385992	0.00551150336805245	129	SpA	0.0941038167656363
Mogibacterium_species_incertae_sedis__meta_mOTU_v25_12290_	HC	40	SpA	89	0.3	0.0898876404494382	0	0	0.516397779494322	0.287641247445267	2113.5	0.252912257377773	0.00576926962869935	129	SpA	0.0947282623573484
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	HC	40	SpA	89	131.9	85.2584269662921	114.5	57	116.412793375722	91.1128830439931	2320.5	0.212507831312227	0.0059590447036076	129	HC	0.0947282623573484
Ruminococcus_sp__CAG_177__meta_mOTU_v25_12400_	HC	40	SpA	89	37.575	22.5168539325843	5	0	57.2130017050545	46.6900106990852	2257	0.138059790660183	0.00679145447323148	129	HC	0.10436201707199
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12522_	HC	40	SpA	89	3.85	2.15730337078652	2	1	4.93314275446165	2.83604588854277	2297	0.212592735946365	0.007253595205823	129	HC	0.104677305801593
Clostridium_species_incertae_sedis__ext_mOTU_v26_17427_	HC	40	SpA	89	4.675	3.2247191011236	4.5	2	3.15730735652862	3.16498172114772	2304	0.208228481627074	0.00726610365650972	129	HC	0.104677305801593
Bacteroides_rodentium_uniformis__ref_mOTU_v25_00855_	HC	40	SpA	89	51.3	29.7303370786517	23	6	80.2682042616167	52.6398060676484	2297.5	0.158368620224156	0.00834892944989804	129	HC	0.116632014436454
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	HC	40	SpA	89	0.475	0.258426966292135	0	0	0.715667162289487	0.731251882478392	2149.5	0.137104902938887	0.00984002397767569	129	SpA	0.121662945816556
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	HC	40	SpA	89	73.65	50.7640449438202	62	42	50.4922182377057	41.995676853238	2285.5	0.2308690892143	0.0101192794279495	129	HC	0.121662945816556
Odoribacter_splanchnicus__ref_mOTU_v25_03697_	HC	40	SpA	89	4.775	3.15730337078652	4	3	3.64084732318855	2.875835358499	2279.5	0.233262939809904	0.0102298892252025	129	HC	0.121662945816556
Bacteroides_eggerthii__ref_mOTU_v25_01577_	HC	40	SpA	89	18.85	6.59550561797753	0	0	43.9285842341921	25.0271303248747	2179	0.174838737318121	0.00949539336265145	129	SpA	0.121662945816556
Eubacterium_ventriosum__ref_mOTU_v25_11151_	HC	40	SpA	89	5.125	2.67415730337079	2	1	7.1079136107184	4.16635681517295	2278	0.211883118476407	0.0090554901312293	129	HC	0.121662945816556
Clostridium_species_incertae_sedis__meta_mOTU_v25_12696_	HC	40	SpA	89	0.35	0.0561797752808989	0	0	0.833589704154145	0.231573204692959	2043.5	0.262905131737258	0.0102925268695134	129	SpA	0.121662945816556
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26520_	HC	40	SpA	89	1.725	0.842696629213483	0	0	2.47020709191013	2.20999216578462	2161	0.175860374180665	0.0114793671153314	129	SpA	0.132299706004195
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26282_	HC	40	SpA	89	0.825	0.247191011235955	0	0	1.81005028971077	0.895454415828843	2109.5	0.20987600696596	0.0119636649526746	129	SpA	0.134518281541048
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	HC	40	SpA	89	34.825	19.4831460674157	11	4	55.882150491814	38.9250773221485	2259.5	0.156957842221105	0.0143595143699343	129	HC	0.138552643711318
Bacteria_species_incertae_sedis__ext_mOTU_v26_16372_	HC	40	SpA	89	1	0.168539325842697	0	0	2.65059258009243	0.505334161632851	2102	0.244933183710195	0.0139383914086221	129	SpA	0.138552643711318
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26216_	HC	40	SpA	89	8.2	4.57303370786517	5	0	10.8891854137194	7.69280602613046	2248.5	0.187968778798552	0.0128411406016698	129	HC	0.138552643711318
Oscillibacter_sp___ref_mOTU_v25_04664_	HC	40	SpA	89	38.65	27.7865168539326	39	13	31.6564490938382	34.8266720900259	2259	0.147233659358283	0.0143086171386025	129	HC	0.138552643711318
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13012_	HC	40	SpA	89	0.075	2.89887640449438	0	0	0.266746782836918	13.2004174725824	1438.5	0.118474260361364	0.0130323964572008	129	SpA	0.138552643711318
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17315_	HC	40	SpA	89	2.55	1.57303370786517	1	0	2.81889230836402	3.11480205284322	2236	0.148198409743323	0.0144263056358856	129	HC	0.138552643711318
Clostridium_species_incertae_sedis__meta_mOTU_v25_12234_	HC	40	SpA	89	1.125	0.595505617977528	0	0	1.82837324360994	1.63567543126543	2153	0.143359683791224	0.0132746676105415	129	SpA	0.138552643711318
Ruminococcus_bicirculans__ref_mOTU_v25_02792_	HC	40	SpA	89	34.175	23.8089887640449	14	5	41.9162091528276	45.1701018385186	2251.5	0.108263768702234	0.0151738532040266	129	HC	0.139902926541126
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17503_	HC	40	SpA	89	1.75	0.719101123595506	0	0	2.64817305190211	1.80270481149441	2164.5	0.222315709338722	0.0151500889008739	129	SpA	0.139902926541126
Alistipes_species_incertae_sedis__ext_mOTU_v26_26506_	HC	40	SpA	89	1.225	0.247191011235955	0	0	3.54811253543381	1.00318695434741	2066	0.207867104204444	0.0157776611068713	129	SpA	0.141517543191902
Firmicutes_bacterium_CAG_102__ref_mOTU_v25_07726_	HC	40	SpA	89	8.075	5.44943820224719	7	2	7.77697950726439	8.12125611079717	2248	0.150328135126059	0.0159629332884575	129	HC	0.141517543191902
