Feature	DESeq2	RAR_wt	ANCOMBC	ACAT
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	0.055660000558651	0.000147724850579345	1.62222441620188e-05	4.38398592500225e-05
Ruminococcus__gnavus__ref_mOTU_v25_01594_	5.94623943902184e-05	0.00272733968644778	0.000134372780137861	0.00012182254136797
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	0.0211790080152599	0.000566159154066568	0.000130680417913464	0.000316934059378822
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	0.00159468704786285	0.000986378473752921	0.000261622114060189	0.000549129234067783
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.0408144628613886	0.0059590447036076	0.000254275995462036	0.000727290332905358
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	0.0215437158207395	0.000693479185587867	0.000379526911749358	0.000727587818878353
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.00248439423397581	0.000870568176810123	0.000536373797676213	0.000878334548320443
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.00990865960431455	0.000598372308301621	0.000702838911082676	0.000938997796471771
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	0.00625646161101305	0.000845104718468521	0.000540505469324862	0.000939489299737932
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	0.0473280648682669	0.0006425529318613	0.00072019573294047	0.00101153755714516
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17316_	0.0190141727853265	0.000669921692066999	0.00191549627175299	0.00145116447397516
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	0.0574961279241577	0.000780262791774781	0.00134663177800281	0.00146956285539221
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_18125_	0.0121406404629274	0.00120805475364432	0.000995491220213754	0.00156687214591913
Mogibacterium_sp__BX12__mags_db_all_26_	0.00122220019550626	0.0407552115911756	0.00172538101485175	0.00210941934055315
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	0.0664927995747921	0.00353386212162143	0.00103889405776982	0.00238025935985298
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	0.0684367288060694	0.00254455264707723	0.0014678972079359	0.00275572384709191
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18129_	0.0111420780191365	0.00176873987617557	0.00364776807901833	0.0032284386832592
Eubacterium__rectale__ref_mOTU_v25_03657_	0.0165552427871407	0.00218919123624911	0.00272391870243028	0.00339261160662744
