Feature	DESeq2	RAR_wt	ANCOMBC	ACAT
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12403_	0.474533117651021	0.0401331929509467	0.0101875693337478	0.0200348156772603
Ruminococcus__gnavus__ref_mOTU_v25_01594_	0.0274121638138907	0.0661738734448645	0.0281287019755255	0.0278364507025811
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.32103112292637	0.0401331929509467	0.0452282920286615	0.0462272663615338
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.261651413737159	0.0401331929509467	0.0424296793420017	0.0462272663615338
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13377_	0.245050243021592	0.0413382251272815	0.0328597375259597	0.0462272663615338
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14166_	0.32103112292637	0.0401331929509467	0.0424296793420017	0.0462272663615338
Clostridium_species_incertae_sedis__meta_mOTU_v25_12417_	0.474533117651021	0.0401331929509467	0.0452282920286615	0.0462272663615338
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.427624258615912	0.0947282623573484	0.0328597375259597	0.0462272663615338
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	0.340414293778717	0.0401331929509467	0.0397238167630995	0.0462272663615338
Oscillibacter_sp__57_20__meta_mOTU_v25_12610_	0.340414293778717	0.0401331929509467	0.0281287019755255	0.0462272663615338
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17316_	0.325793299734852	0.0401331929509467	0.0678771517827421	0.055081582360388
Oscillibacter_sp__57_20__ref_mOTU_v25_10413_	0.474533117651021	0.0401331929509467	0.0650526735835205	0.055081582360388
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_18125_	0.325793299734852	0.0464094367858359	0.0543687890232874	0.055081582360388
Mogibacterium_sp__BX12__mags_db_all_26_	0.245050243021592	0.21610499475976	0.0677212048329313	0.0688574741880565
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12259_	0.488655611450054	0.080620464448934	0.0543687890232874	0.0725185684968542
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12361_	0.488655611450054	0.065168820572367	0.0658456747559816	0.0787103623825628
Eubacterium__eligens__ref_mOTU_v25_02376_	0.32103112292637	0.080620464448934	0.0678771517827421	0.0820090187262529
Eubacterium__rectale__ref_mOTU_v25_03657_	0.325793299734852	0.0593657152888729	0.0743748237011397	0.0820090187262529
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18129_	0.32103112292637	0.0569209300613126	0.0911643354916144	0.0820090187262529
Clostridiales_species_incertae_sedis__mags_db_all_139_	0.340414293778717	0.0569209300613126	0.20540934024312	0.0826411365993994
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13012_	0.261651413737159	0.138552643711318	0.0704697795515839	0.0826411365993994
Eubacterium_species_incertae_sedis__ext_mOTU_v26_16236_	0.32103112292637	0.0894274400549409	0.0796845055543764	0.0826411365993994
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	0.381728288802796	0.121662945816556	0.0677212048329313	0.0826411365993994
uncultured_Blautia_sp___ref_mOTU_v25_11916_	0.32103112292637	0.0902244640000208	0.0743748237011397	0.0826411365993994
Clostridia_species_incertae_sedis__ext_mOTU_v26_26753_	0.711292246753879	0.0569209300613126	0.205558503050776	0.0829639648811038
Odoribacter_splanchnicus__ref_mOTU_v25_03697_	0.325793299734852	0.121662945816556	0.0704697795515839	0.0829639648811038
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26398_	0.474533117651021	0.0593657152888729	0.157321198789215	0.0829639648811038
Ruminococcaceae_species_incertae_sedis__meta_mOTU_v25_12239_	0.711292246753879	0.238902694576183	0.0704697795515839	0.106689399340394
Bifidobacterium_species_incertae_sedis__ext_mOTU_v26_26736_	0.32103112292637	0.0941038167656363	0.171975728810955	0.108811404100558
Bacteroides_rodentium_uniformis__ref_mOTU_v25_00855_	0.488655611450054	0.116632014436454	0.108951221921057	0.134291979447266
Bacteroidales_species_incertae_sedis__meta_mOTU_v25_12262_	0.261651413737159	0.408696778070778	0.506270137766079	0.138282743614873
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12522_	0.325793299734852	0.104677305801593	0.171975728810955	0.138282743614873
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_16292_	0.796039329711647	0.186861057277492	0.0911643354916144	0.138282743614873
Clostridium_species_incertae_sedis__ext_mOTU_v26_17427_	0.408659147785036	0.104677305801593	0.168224999644215	0.144076453836756
Eubacterium_ventriosum__ref_mOTU_v25_11151_	0.381728288802796	0.121662945816556	0.157321198789215	0.144076453836756
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26512_	0.563441861500832	0.0894274400549409	0.349082230704205	0.146589280865814
Eubacteriaceae_bacterium_CHKCI005__ref_mOTU_v25_09413_	0.711292246753879	0.186553593441655	0.110890600174338	0.157004198325321
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17445_	0.474533117651021	0.0941038167656363	0.351781260295785	0.157004198325321
unassigned	0.381728288802796	0.187191931725102	0.135550785050268	0.157004198325321
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26216_	0.551747257331992	0.138552643711318	0.157321198789215	0.162054678396178
Ruminococcus_sp__CAG_177__meta_mOTU_v25_12400_	0.854037715384046	0.10436201707199	0.259722743206878	0.163575760329494
uncultured_Clostridium_sp___ref_mOTU_v25_11605_	0.796039329711647	0.0941038167656363	0.506270137766079	0.163575760329494
Mogibacterium_species_incertae_sedis__meta_mOTU_v25_12290_	0.911312456238729	0.0947282623573484	0.52645916444856	0.173657997507781
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	0.488655611450054	0.138552643711318	0.177500671417836	0.17671409340004
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	0.488655611450054	0.18400975506253	0.158418492512839	0.178091380178601
Oscillibacter_sp___ref_mOTU_v25_04664_	0.766954083507895	0.138552643711318	0.175278537690158	0.178091380178601
Bacteria_species_incertae_sedis__ext_mOTU_v26_16372_	0.325793299734852	0.138552643711318	0.351781260295785	0.179058663281485
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12251_	0.32103112292637	0.707097339818492	0.64130641852384	0.187309426574589
Bacteroides_cellulosilyticus_fragilis__ref_mOTU_v25_01597_	0.32103112292637	0.481352591852132	0.407286121191358	0.196797069312484
Bacteroides_eggerthii__ref_mOTU_v25_01577_	0.657097436176309	0.121662945816556	0.457531496677828	0.196797069312484
Bifidobacterium_ruminantium__ref_mOTU_v25_02702_	0.633414469008428	0.159022457311796	0.217416866761661	0.196797069312484
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26282_	0.488655611450054	0.134518281541048	0.368311029893473	0.196797069312484
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26520_	0.671867410137603	0.132299706004195	0.263012620292802	0.196797069312484
Eubacterium_sp__CAG_38__ref_mOTU_v25_07679_	0.32103112292637	0.43031914380527	0.503502351330555	0.196797069312484
Firmicutes_bacterium_CAG_102__ref_mOTU_v25_07726_	0.616070377424797	0.141517543191902	0.238690397712984	0.196797069312484
Flavonifractor_species_incertae_sedis__ext_mOTU_v26_17315_	0.552685428805417	0.138552643711318	0.284019682470601	0.196797069312484
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17503_	0.474533117651021	0.139902926541126	0.263012620292802	0.196797069312484
Sutterella_wadsworthensis__ref_mOTU_v25_03066_	0.325793299734852	0.214094142168397	0.259722743206878	0.196797069312484
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	0.796039329711647	0.121662945816556	0.526966428039013	0.197702716758498
Clostridium_species_incertae_sedis__meta_mOTU_v25_12696_	0.911312456238729	0.121662945816556	0.484282732565521	0.197702716758498
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	0.752021310655286	0.18400975506253	0.209905754018237	0.197702716758498
Prevotella_sp__CAG_279__meta_mOTU_v25_12279_	0.325793299734852	0.334767616096016	0.312059340088194	0.197702716758498
Ruminococcus_bicirculans__ref_mOTU_v25_02792_	0.796039329711647	0.139902926541126	0.263012620292802	0.197702716758498
Eggerthella_lenta__ref_mOTU_v25_00719_	0.325793299734852	0.263021700380199	0.306756187993634	0.198918514876118
uncultured_Clostridium_sp___ref_mOTU_v25_06391_	0.408659147785036	0.18400975506253	0.298725123545794	0.198918514876118
Bacteroides_dorei_vulgatus__ref_mOTU_v25_02367_	0.796039329711647	0.206741975501695	0.206696816831939	0.199971474250128
Clostridium_species_incertae_sedis__meta_mOTU_v25_12234_	0.711292246753879	0.138552643711318	0.383212855522322	0.199971474250128
Alistipes_species_incertae_sedis__ext_mOTU_v26_26506_	0.474533117651021	0.141517543191902	0.52645916444856	0.208837427081214
Clostridiales_Family_XIII__Incertae_Sedis_species_incertae_sedis__ext_mOTU_v26_26457_	0.578950458387424	0.146242253885813	0.385237036305599	0.208837427081214
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	0.886122941186761	0.150130379027766	0.300316645360501	0.208837427081214
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12631_	0.563441861500832	0.18400975506253	0.298725123545794	0.208837427081214
Clostridium_sp___ref_mOTU_v25_03618_	0.416657729273762	0.18400975506253	0.368311029893473	0.208837427081214
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	0.552685428805417	0.159580391595872	0.306756187993634	0.208837427081214
Intestinibacter_bartlettii__ref_mOTU_v25_03687_	0.752021310655286	0.225188499580331	0.223976589940806	0.208837427081214
