Feature	beta	se	W	p.value	q.value	diffabn
Prevotella_species_incertae_sedis__meta_mOTU_v25_12281_	0.459722319807741	0.199450843542908	2.30494046373306	0	0	TRUE
Bacteroides_coprocola__ref_mOTU_v25_11279_	0.329805056541492	0.158430128361306	2.08170668011679	0	0	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12487_	0.236190332228217	0.148051115168451	1.59532963976314	0	0	TRUE
Clostridium_species_incertae_sedis__meta_mOTU_v25_12249_	0.224024552549076	0.139587392540987	1.60490534618516	0	0	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12425_	0.10130565379623	0.118545440651848	0.854572333100105	0	0	TRUE
Clostridium_species_incertae_sedis__meta_mOTU_v25_12762_	0.215933635381262	0.119361706833993	1.80906960120452	0	0	TRUE
3576_009_bin_11_clean__mags_db_all_4_	0.178159541454394	0.124084906981487	1.43578736357497	0	0	TRUE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26377_	0.212496520041977	0.117680673831481	1.80570448080771	0	0	TRUE
Clostridium_species_incertae_sedis__meta_mOTU_v25_12650_	0.132001110873296	0.109224701009075	1.20852801292931	0	0	TRUE
Bacteroides_sp___ref_mOTU_v25_02810_	0.111213976567285	0.105552961498688	1.05363198709177	0	0	TRUE
Butyricicoccus_sp__BB10__meta_mOTU_v25_13554_	0.121950570361097	0.106928487953509	1.14048718629706	0	0	TRUE
Clostridium_sp___ref_mOTU_v25_03619_	0.0897141428246798	0.1027994325939	0.872710486439041	0	0	TRUE
Eubacterium__eligens__Candidatus_Gastranaerophilales_bacterium_HUM_14__Eubacterium__eligens___mags_db_all_65_	0.0999885411199526	0.105636790722576	0.946531416147837	0	0	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12304_	0.10585960382305	0.103369139340847	1.02409292075066	0	0	TRUE
Alistipes_species_incertae_sedis__ext_mOTU_v26_26407_	0.121322577327081	0.0991071345712095	1.22415583753871	0	0	TRUE
Streptococcus_thermophilus__ref_mOTU_v25_01348_	0.107176716499327	0.100294540866207	1.06861964343902	0	0	TRUE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26282_	0.10230137143234	0.0885437155941991	1.15537698803146	0	0	TRUE
Erysipelotrichaceae_species_incertae_sedis__ext_mOTU_v26_16246_	0.0895635283900344	0.0920235511246192	0.97326746572458	0	0	TRUE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28979_	0.133318223549573	0.0850615108399319	1.56731549008635	0	0	TRUE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26523_	0.07988071247993	0.0895838314322307	0.891686716261506	0	0	TRUE
Roseburia_sp__CAG_303__meta_mOTU_v25_12911_	0.0598637889490784	0.0892529996711401	0.670720190577924	0	0	TRUE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26928_	0.0588680713129676	0.0871122963641348	0.675772236182311	0	0	TRUE
Bacteroides_species_incertae_sedis__ext_mOTU_v26_26291_	0.0484430585830494	0.0832452645843869	0.581931702961218	0	0	TRUE
Clostridiaceae_species_incertae_sedis__ext_mOTU_v26_16176_	0.0505932731883112	0.0878415843321142	0.575960390206836	0	0	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_14513_	0.0447222104852136	0.084157026736886	0.531413860722956	0	0	TRUE
Clostridium_species_incertae_sedis__ext_mOTU_v26_26503_	0.0460393231614906	0.0813640043627329	0.565843870665957	0	0	TRUE
Ruminococcaceae_species_incertae_sedis__ext_mOTU_v26_17453_	0.0318934623337366	0.0837985370236447	0.380596887088107	0	0	TRUE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_17444_	0.0236186642090802	0.0805519775816143	0.293210234164022	0	0	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.877195460731049	0.212185689641864	4.13409340757908	3.56358528364041e-05	0.0232702119021719	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12556_	0.704375768155194	0.186352581039486	3.77980151509651	0.000156953426083626	0.0512452936163037	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	0.907659875201807	0.252322477694309	3.59722163279264	0.000321634413746883	0.0626426712586839	TRUE
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	0.715580990849188	0.201513473854535	3.55103297641398	0.000383722335428385	0.0626426712586839	TRUE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.669799606593635	0.202376691200637	3.3096677419713	0.000934067782952081	0.117634943399622	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	0.69756541327017	0.215539720141893	3.23636595988411	0.00121062068053986	0.117634943399622	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26586_	-0.423380624157122	0.131292753200073	-3.2247067247645	0.00126101776998063	0.117634943399622	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	1.1736984808866	0.408855247086007	2.87069443097962	0.0040957123142873	0.243537703820534	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	1.3387182131118	0.464847492284399	2.8799084330496	0.00397790683749753	0.243537703820534	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13863_	0.455198745313863	0.157659798859996	2.88722140079657	0.00388660635365391	0.243537703820534	FALSE
uncultured_Eubacterium_sp___ref_mOTU_v25_08868_	0.36034679269216	0.126768861485511	2.84254972766593	0.0044754248787847	0.243537703820534	FALSE
Intestinimonas_massiliensis__ref_mOTU_v25_02970_	-0.609503501753947	0.213683567546492	-2.85236487181605	0.00433952581456709	0.243537703820534	FALSE
Christensenella_minuta__ref_mOTU_v25_06399_	-0.268624187543385	0.0974131643065065	-2.75757583131341	0.00582317051042418	0.292502334100538	FALSE
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	0.976329653516226	0.360413958505511	2.70891187889799	0.00675042663382966	0.293868572792718	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	-0.391326660558381	0.143883770567725	-2.7197414900535	0.00653329700930979	0.293868572792718	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	1.09892870408225	0.413298911522818	2.65891990867626	0.00783915958684696	0.319935700638191	FALSE
Roseburia_species_incertae_sedis__meta_mOTU_v25_12366_	1.14430198970247	0.441181967949182	2.59371885714575	0.00949440897010099	0.364697003380938	FALSE
Ruminococcus_lactaris__ref_mOTU_v25_01595_	0.616088522211107	0.241734415784332	2.54861733366407	0.0108150898830943	0.392347427425586	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	0.910345185009006	0.372864164770352	2.44149283042443	0.0146266787616031	0.396279963675859	FALSE
Collinsella_aerofaciens__ref_mOTU_v25_03626_	0.790982032913096	0.318907787539771	2.48028447036419	0.0131277601959613	0.396279963675859	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13280_	0.725900375796405	0.293292620411967	2.47500388784684	0.0133234725450472	0.396279963675859	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12786_	0.521961840574557	0.210055848569004	2.48487173354324	0.0129598120920867	0.396279963675859	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_17479_	-0.278680161757291	0.114585444755858	-2.43207295962468	0.0150126829102094	0.396279963675859	FALSE
Lachnospiraceae_species_incertae_sedis__ext_mOTU_v26_18295_	-0.216543312802957	0.0877015899732551	-2.46909221222777	0.0135456307808516	0.396279963675859	FALSE
Clostridium_species_incertae_sedis__ext_mOTU_v26_18071_	-0.278159700116338	0.114551095259437	-2.4282587563773	0.0151715146889686	0.396279963675859	FALSE
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12331_	0.836256264331854	0.360237253115972	2.32140417765909	0.0202650402821312	0.435603991604422	FALSE
Coprococcus_catus__ref_mOTU_v25_11851_	0.656124096067873	0.276138526567219	2.37606865012425	0.0174982069331414	0.435603991604422	FALSE
Bacteroides_caecimuris__ref_mOTU_v25_03476_	0.486549757657926	0.208506134414671	2.33350332364941	0.0196217440906975	0.435603991604422	FALSE
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_16208_	-0.50685524729897	0.220348035722248	-2.30024853926027	0.0214341433052835	0.435603991604422	FALSE
Clostridium_sp__AT4__meta_mOTU_v25_12609_	-0.810406314348583	0.347305641444922	-2.33340958982695	0.0196266584344273	0.435603991604422	FALSE
Roseburia_faecis__ref_mOTU_v25_00859_	-0.554936008140914	0.242316189133708	-2.29013179071871	0.0220136779830719	0.435603991604422	FALSE
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13690_	-0.429321991097342	0.184595414412579	-2.3257456988492	0.0200321210091472	0.435603991604422	FALSE
Adlercreutzia_equolifaciens__ref_mOTU_v25_08094_	0.388065294212525	0.171549971032533	2.26211226896057	0.0236904677698008	0.45499633687294	FALSE
Faecalibacterium_species_incertae_sedis__meta_mOTU_v25_12303_	0.470494846935216	0.213332946544402	2.20544859364838	0.0274226313190232	0.48397238517087	FALSE
Eubacterium__eligens__ref_mOTU_v25_02376_	0.59336770700593	0.268670692356187	2.20853157373518	0.0272072393382871	0.48397238517087	FALSE
Eubacterium_species_incertae_sedis__meta_mOTU_v25_12314_	0.392302964217523	0.176615393842296	2.22122746881181	0.0263355586018795	0.48397238517087	FALSE
Faecalibacterium_prausnitzii__ref_mOTU_v25_06112_	0.619049357425831	0.288568379669341	2.14524321110711	0.0319334063611532	0.548750377732449	FALSE
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_18130_	0.523120990570294	0.247302287713157	2.11530995288267	0.0344035387425121	0.56163776997151	FALSE
3576_016_bin_50_clean__mags_db_all_10_	-0.416474320164975	0.196512885888477	-2.11932321019054	0.0340631614390625	0.56163776997151	FALSE
Barnesiella_intestinihominis__ref_mOTU_v25_03595_	-0.647438746724236	0.315584243031853	-2.05155599818362	0.0402128322009438	0.57587932219894	FALSE
Eggerthellaceae_species_incertae_sedis__ext_mOTU_v26_15443_	0.387250512720797	0.186942419273009	2.07149620844085	0.038312448414462	0.57587932219894	FALSE
uncultured_Blautia_sp___ref_mOTU_v25_03662_	0.29765951193343	0.144308485930675	2.06266118041335	0.0391448305928693	0.57587932219894	FALSE
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26505_	-0.307610038528787	0.150205680488075	-2.04792546812641	0.0405673029420387	0.57587932219894	FALSE
