Feature	baseMean	log2FoldChange	lfcSE	stat	p.value	q.value
Ruminococcus_sp__CAG_254__meta_mOTU_v25_12276_	10.09375	-5.38496539859567	1.33190733811898	-4.04304807435081	5.27607974616942e-05	0.0103674967012229
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12556_	3.734375	-3.93505983547624	0.964783700318276	-4.07869643131211	4.52889274500831e-05	0.0103674967012229
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	8.34375	-2.46781866471801	0.650374317153305	-3.79445897482495	0.000147965743705174	0.0152529196528539
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	5.828125	-4.58601612160095	1.21242215325984	-3.78252418868338	0.000155246001555765	0.0152529196528539
Ruminococcus_callidus__ref_mOTU_v25_11153_	8.703125	-5.75454558749418	1.69909210295432	-3.38683557971248	0.000707037475551762	0.0341438892598975
Clostridium_sp__CAG_217__meta_mOTU_v25_12270_	8.21875	-5.86688190205407	1.69131980164133	-3.46881878658347	0.000522751926764216	0.0341438892598975
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	7.390625	-1.4053913378094	0.411498152114873	-3.41530412855191	0.000637108325654602	0.0341438892598975
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	6.296875	-1.92832160488991	0.574056195586754	-3.35911644141204	0.000781921128089255	0.0341438892598975
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	3.65625	-4.10264800968068	1.21042536166968	-3.38942667561212	0.000700389372874737	0.0341438892598975
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	77.46875	-1.83019494954458	0.559732507831441	-3.26976711900343	0.00107636058262026	0.0423009708969761
Oscillibacter_species_incertae_sedis__meta_mOTU_v25_12353_	7.25	-4.70852589992504	1.48352850446778	-3.1738695183442	0.00150421295682404	0.0492629743359874
Bacteroides_eggerthii__ref_mOTU_v25_01577_	4.0625	-4.85033737792538	1.51842994103389	-3.19431094372573	0.00140165057460241	0.0492629743359874
Collinsella_aerofaciens__ref_mOTU_v25_03626_	18.65625	-1.53610654202595	0.532216955662428	-2.88624126999867	0.00389873155532685	0.117861653941804
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	73.390625	-1.24880671738279	0.464559993506936	-2.68814950670982	0.00718492193294276	0.127024899229985
Roseburia_species_incertae_sedis__meta_mOTU_v25_12366_	34.015625	-2.35388670089116	0.840778664685841	-2.79965084719496	0.00511579076774303	0.127024899229985
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	22.28125	-1.80314257354904	0.671617603003228	-2.68477563048683	0.00725785109642078	0.127024899229985
Ruminococcus_lactaris__ref_mOTU_v25_01595_	4.9375	-2.25857098844625	0.839575264654552	-2.69013521899737	0.00714230723094316	0.127024899229985
bacterium_LF_3__ref_mOTU_v25_03628_	3.984375	-2.01099807014184	0.740136427435168	-2.71706403792427	0.00658638627130967	0.127024899229985
Bacteroides_caecimuris__ref_mOTU_v25_03476_	3.3125	-3.55966728776024	1.31406181312759	-2.708903989294	0.00675058715386585	0.127024899229985
Eggerthellaceae_species_incertae_sedis__ext_mOTU_v26_15443_	2.875	-2.41319381809358	0.901539026866235	-2.67674914360822	0.00743402718139859	0.127024899229985
Bacteroides_clarus__ref_mOTU_v25_01578_	2.203125	2.99411743935448	1.0936316670426	2.7377750019357	0.00618563794965836	0.127024899229985
