Feature	Level1	N_level1	Level2	N_level2	mean.level1	mean.level2	median.level1	median.level2	sd.level1	sd.level2	statistic	EffectSize_r	p.value	N	Dominant	q.value
Actinomycetaceae_sp___ref_mOTU_v25_02100_	Non_responder	15	Responder	49	0.2	0	0	0	0.414039335605413	0	441	0.397675108352633	0.00157899860123741	64	Responder	0.124282021908711
Clostridiales_species_incertae_sedis__ext_mOTU_v26_26752_	Non_responder	15	Responder	49	0.466666666666667	0.0204081632653061	0	0	1.06009882737862	0.142857142857143	458.5	0.344226003307977	0.00204481972179969	64	Responder	0.124282021908711
Coraliomargarita_sp__CAG_312__ref_mOTU_v25_07662_	Non_responder	15	Responder	49	1	0	0	0	3.33809184158512	0	441	0.259804591361845	0.00158338853739801	64	Responder	0.124282021908711
Anaerotruncus_sp__CAG_528__ref_mOTU_v25_07590_	Non_responder	15	Responder	49	4	0.0408163265306122	0	0	12.0534523803645	0.285714285714286	459.5	0.282660399384818	0.00183176812086177	64	Responder	0.124282021908711
Clostridium_sp__AT4__meta_mOTU_v25_12609_	Non_responder	15	Responder	49	4.46666666666667	0.285714285714286	0	0	8.98305282714279	1.15470053837925	508	0.376445721259819	0.00111377174457175	64	Responder	0.124282021908711
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13863_	Non_responder	15	Responder	49	0.866666666666667	2.18367346938776	1	2	1.06009882737862	1.52306529444947	175.5	0.365227374364823	0.00183540359401424	64	Responder	0.124282021908711
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12786_	Non_responder	15	Responder	49	2.53333333333333	3.87755102040816	1	3	5.54032833821589	3.2572525044201	176	0.145889661088503	0.00220618973802446	64	Responder	0.124282021908711
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	Non_responder	15	Responder	49	3.26666666666667	8.6530612244898	1	8	4.35015051737403	6.85124994802701	154.5	0.339168627362212	0.000728788780808512	64	Responder	0.124282021908711
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	Non_responder	15	Responder	49	1.86666666666667	10.3265306122449	1	4	2.89991789703154	19.7298291037349	174	0.20304801129509	0.00205017335867218	64	Responder	0.124282021908711
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26586_	Non_responder	15	Responder	49	0.733333333333333	0.122448979591837	0	0	1.03279555898864	0.484452141651805	488	0.372009751754119	0.0025992541386052	64	Responder	0.131782184827284
