Feature	DESeq2	RAR_wt	ANCOMBC	ACAT
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28979_	0.352951143992673	0.0369612663614788	0	0
Clostridium_species_incertae_sedis__meta_mOTU_v25_12762_	0.294698614131741	0.0479256820812994	0	0
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26377_	0.158960590020633	0.0616720584730214	0	0
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.000637108325654602	0.000728788780808512	3.56358528364041e-05	9.67637226891276e-05
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12556_	4.52889274500831e-05	0.00857153535732473	0.000156953426083626	0.000105011107542348
Ruminococcus_sp__CAG_254__meta_mOTU_v25_12276_	5.27607974616942e-05	0.0934398449232408	0.0684997593388333	0.000158075832054015
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	0.000147965743705174	0.00205017335867218	0.000321634413746883	0.000289709537977365
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	0.000155246001555765	0.0163161965353322	0.00121062068053986	0.000409352506882282
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	0.000700389372874737	0.0103481414595534	0.000383722335428385	0.000726316004431055
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.000781921128089255	0.00709676142121218	0.000934067782952081	0.00120463557070327
Clostridium_sp__CAG_217__meta_mOTU_v25_12270_	0.000522751926764216	0.0874167737326469	0.0733096584218065	0.00154837434656729
Ruminococcus_callidus__ref_mOTU_v25_11153_	0.000707037475551762	0.174953436381427	0.173289740276542	0.00210572430321556
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	0.00107636058262026	0.00685914920141862	0.0040957123142873	0.00227447102372957
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26586_	0.225906863521834	0.0025992541386052	0.00126101776998063	0.00253934818956126
Clostridium_sp__AT4__meta_mOTU_v25_12609_	0.00586967280008468	0.00111377174457175	0.0196266584344273	0.00268070812455155
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13863_	0.00563079792302369	0.00183540359401424	0.00388660635365391	0.00306209699042256
Bacteroides_eggerthii__ref_mOTU_v25_01577_	0.00140165057460241	0.0391910614317897	0.117176738539331	0.00401600160940418
Oscillibacter_species_incertae_sedis__meta_mOTU_v25_12353_	0.00150421295682404	0.235475444323963	0.186373161802863	0.00445752842429555
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12786_	0.174109948583467	0.00220618973802446	0.0129598120920867	0.00560123564760173
Intestinimonas_massiliensis__ref_mOTU_v25_02970_	0.0122211493871307	0.00662069883784276	0.00433952581456709	0.00647536442442434
uncultured_Eubacterium_sp___ref_mOTU_v25_08868_	0.0107055129153967	0.00838320058514367	0.0044754248787847	0.00687870129758165
Collinsella_aerofaciens__ref_mOTU_v25_03626_	0.00389873155532685	0.0171711739459859	0.0131277601959613	0.00767521548808368
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	0.00718492193294276	0.00889109741698036	0.00783915958684696	0.00791104800612799
Roseburia_species_incertae_sedis__meta_mOTU_v25_12366_	0.00511579076774303	0.0303680970270684	0.00949440897010099	0.00899096371075213
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.165924082245621	0.0206561972084284	0.00397790683749753	0.00982682265325414
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	0.0145342979625123	0.0143064835295817	0.00675042663382966	0.0104593003437905
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12252_	0.00725785109642078	0.017867081170244	0.0146266787616031	0.0114459658110988
Ruminococcus_lactaris__ref_mOTU_v25_01595_	0.00714230723094316	0.0587616863958852	0.0108150898830943	0.0120308961169475
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13923_	0.0791416248267713	0.0242307082068061	0.00653329700930979	0.0145104084774705
Bacteroides_caecimuris__ref_mOTU_v25_03476_	0.00675058715386585	0.153364805073175	0.0196217440906975	0.0146224087157031
Christensenella_minuta__ref_mOTU_v25_06399_	0.552441356265235	0.0336460510739927	0.00582317051042418	0.0149295285810782
Bacteroides_clarus__ref_mOTU_v25_01578_	0.00618563794965836	0.17343958790493	0.0433122683894413	0.0157953478409563
