Feature	DESeq2	RAR_wt	ANCOMBC	ACAT
Clostridiales_species_incertae_sedis__ext_mOTU_v26_28979_	NA	0.416430267672662	0	0
Clostridium_species_incertae_sedis__meta_mOTU_v25_12762_	NA	0.458458883306015	0	0
Faecalibacterium_species_incertae_sedis__ext_mOTU_v26_26377_	0.529419592187361	0.488558338215966	0	0
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12556_	0.0103674967012229	0.252470956018198	0.0512452936163037	0.0101440729885908
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12563_	0.0341438892598975	0.124282021908711	0.0232702119021719	0.0101440729885908
Ruminococcus_sp__CAG_254__meta_mOTU_v25_12276_	0.0103674967012229	0.570762258966985	0.575879630817404	0.0127251044803482
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12288_	0.0152529196528539	0.124282021908711	0.0626426712586839	0.0199899581204382
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12411_	0.0152529196528539	0.275743721447114	0.117634943399622	0.0247146576030178
Eggerthella_species_incertae_sedis__meta_mOTU_v25_12316_	0.0341438892598975	0.275743721447114	0.0626426712586839	0.0389789589044666
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12356_	0.0341438892598975	0.252470956018198	0.117634943399622	0.0581838980649681
Clostridium_sp__CAG_217__meta_mOTU_v25_12270_	0.0341438892598975	0.570762258966985	0.575879630817404	0.0679877099447273
Faecalibacterium_prausnitzii__ref_mOTU_v25_06109_	0.0423009708969761	0.252470956018198	0.243537703820534	0.0845053464970293
Ruminococcus_callidus__ref_mOTU_v25_11153_	0.0341438892598975	0.637570893264012	0.734793509094689	0.0845053464970293
Clostridium_sp__AT4__meta_mOTU_v25_12609_	0.127024899229985	0.124282021908711	0.435603991604422	0.0863188016105598
Oscillibacter_species_incertae_sedis__ext_mOTU_v26_26586_	NA	0.131782184827284	0.117634943399622	0.0863188016105598
Clostridiales_species_incertae_sedis__meta_mOTU_v25_13863_	0.127024899229985	0.124282021908711	0.243537703820534	0.0924370528983811
Bacteroides_eggerthii__ref_mOTU_v25_01577_	0.0492629743359874	0.428497631102198	0.659624226432614	0.114101692784836
Oscillibacter_species_incertae_sedis__meta_mOTU_v25_12353_	0.0492629743359874	0.65900127652136	0.747594020329014	0.119610346051931
Clostridiales_species_incertae_sedis__meta_mOTU_v25_12786_	0.530927844266489	0.124282021908711	0.396279963675859	0.14238930619956
Intestinimonas_massiliensis__ref_mOTU_v25_02970_	0.184727373428553	0.252470956018198	0.243537703820534	0.156380050849848
uncultured_Eubacterium_sp___ref_mOTU_v25_08868_	0.168290663030037	0.252470956018198	0.243537703820534	0.158210129844378
Collinsella_aerofaciens__ref_mOTU_v25_03626_	0.117861653941804	0.280831780342415	0.396279963675859	0.166132008128688
Faecalibacterium_prausnitzii__ref_mOTU_v25_06110_	0.127024899229985	0.252470956018198	0.319935700638191	0.166132008128688
Roseburia_species_incertae_sedis__meta_mOTU_v25_12366_	0.127024899229985	0.383981068964032	0.364697003380938	0.180943144678887
Faecalibacterium_prausnitzii__ref_mOTU_v25_06108_	0.530927844266489	0.317354302565854	0.243537703820534	0.18985421366087
Lachnospiraceae_species_incertae_sedis__meta_mOTU_v25_12240_	0.211554781454346	0.275743721447114	0.293868572792718	0.194301617925032
