"OTU"	"Var1"	"Var2"	"estimate"	"statistic"	"p.val"	"N"	"Method"	"q.val"	"Sig"
"uc_uc_k_sv_401"	"Abundance"	"colon_TNF"	-0.571623681678612	23857.2474878813	4.1042917136473e-05	45	"spearman"	0.00114920167982124	"***"
"s_Eisenbergiella_tayi_sv_84"	"Abundance"	"colon_TNF"	-0.570319016666614	23837.4426729992	4.31278905470636e-05	45	"spearman"	0.00120758093531778	"***"
"s_Blautia_pseudococcoides_sv_53"	"Abundance"	"colon_TNF"	-0.564390959908193	23747.4547714064	5.38768363931214e-05	45	"spearman"	0.0015085514190074	"***"
"s_Clostridium_AP_sp000509125_sv_446"	"Abundance"	"colon_TNF"	0.553781348971126	6773.59912261831	7.94019563002052e-05	45	"spearman"	0.00222325477640574	"***"
"s_Enterocloster_aldenensis_sv_39"	"Abundance"	"colon_TNF"	-0.552672074437438	23569.5620899603	8.26253394880304e-05	45	"spearman"	0.00231350950566485	"***"
"s_Eggerthella_lenta_sv_848"	"Abundance"	"colon_TNF"	0.550939214308643	6816.7427267948	8.78999524852081e-05	45	"spearman"	0.00246119866958583	"***"
"s_Phocaeicola_vulgatus_sv_168"	"Abundance"	"colon_TNF"	-0.54231521338138	23412.3449391293	0.000119004848172223	45	"spearman"	0.00333213574882223	"***"
"uc_uc_k_sv_579"	"Abundance"	"colon_TNF"	-0.541958598748949	23406.931529009	0.000120483791100316	45	"spearman"	0.00337354615080885	"***"
"s_Blautia_pseudococcoides_sv_26"	"Abundance"	"colon_TNF"	-0.540318827502562	23382.0398014889	0.000127501576761584	45	"spearman"	0.00357004414932435	"***"
"s_Eisenbergiella_tayi_sv_81"	"Abundance"	"colon_TNF"	-0.538286104404998	23351.1830648679	0.000136715817851194	45	"spearman"	0.00382804289983343	"***"
"s_Eisenbergiella_tayi_sv_91"	"Abundance"	"colon_TNF"	-0.537515071505921	23339.4787854599	0.000140366189727178	45	"spearman"	0.00393025331236099	"***"
"s_Bacteroides_intestinalis_sv_240"	"Abundance"	"colon_TNF"	-0.537121615936978	23333.5061299233	0.000142262862910337	45	"spearman"	0.00398336016148942	"***"
"s_Clostridium_AQ_innocuum_sv_145"	"Abundance"	"colon_TNF"	-0.537094508106425	23333.0946330555	0.000142394390444244	45	"spearman"	0.00398704293243883	"***"
"s_Enterocloster_lavalensis_sv_545"	"Abundance"	"colon_TNF"	0.535223287719333	7055.31049242052	0.000151744965164211	45	"spearman"	0.0042488590245979	"***"
"s_Blautia_pseudococcoides_sv_54"	"Abundance"	"colon_TNF"	-0.531230379360032	23244.0771586853	0.000173586362553023	45	"spearman"	0.00486041815148463	"***"
"s_Bilophila_wadsworthia_sv_116"	"Abundance"	"colon_TNF"	-0.531088850019587	23241.9287432973	0.000174410365315754	45	"spearman"	0.00488349022884111	"***"
"s_Clostridium_AQ_innocuum_sv_282"	"Abundance"	"colon_TNF"	0.530392947653722	7128.6350546165	0.000178513823520402	45	"spearman"	0.00499838705857125	"***"
"s_Alistipes_timonensis_sv_442"	"Abundance"	"colon_TNF"	-0.529668926818648	23220.3743091071	0.000182875793796524	45	"spearman"	0.00512052222630267	"***"
"s_Phascolarctobacterium_faecium_sv_121"	"Abundance"	"colon_TNF"	0.527621381178686	7170.70743370754	0.000195739456839168	45	"spearman"	0.00548070479149671	"***"
"s_Clostridium_AP_sp000509125_sv_463"	"Abundance"	"colon_TNF"	0.527199607812501	7177.10995340624	0.000198488920966455	45	"spearman"	0.00555768978706073	"***"
