"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"
"s_Bacteroides_thetaiotaomicron_sv_32"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	10.6023264999983	0	10.7138907602319	0	4.38954895976663	0	810	0.864812746437891	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Phocaeicola_vulgatus_sv_47"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	8.14606750137882	0	8.55981388534968	0	5.44008671883578	0	810	0.735531388431844	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parabacteroides_distasonis_sv_48"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	7.37624407791112	0	6.95082631291553	0	2.21989407641211	0	810	0.918038144623398	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parabacteroides_distasonis_sv_52"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	6.88106130508361	0	6.33808758216855	0	2.32756592290244	0	810	0.901326256521613	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Phocaeicola_vulgatus_sv_55"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	6.63575258359303	0	6.27073154149348	0	4.43346160000285	0	810	0.735383011065901	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Clostridium_AQ_innocuum_sv_63"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.81467917787428	0	2.95402249274143	0	2.70460442295997	0	810	0.715381779497447	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parabacteroides_distasonis_sv_78"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.82168055882628	0	3.7498031915175	0	1.21902518602395	0	810	0.910092354295989	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Phocaeicola_vulgatus_sv_79"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.90704837964984	0	4.06234836354868	0	2.21126101916334	0	810	0.787038765928681	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parabacteroides_distasonis_sv_85"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.17749558774315	0	3.19095836917758	0	1.11979007620612	0	810	0.894733147243606	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parabacteroides_distasonis_sv_88"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.15797330943387	0	3.05381481568274	0	1.18625266392244	0	810	0.883664576974233	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parasutterella_excrementihominis_sv_106"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.82081525523689	0	2.61554306269651	0	3.02725289142835	0	810	0.676214105840647	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Parasutterella_excrementihominis_sv_209"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.64116681467832	0	1.46583111152771	0	1.14073103163154	0	810	0.72214217626458	2.66670517404672e-12	57	"B1"	2.50670286360392e-10
"s_Phocaeicola_vulgatus_sv_22"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	11.6775260023895	0.0424987849420962	5.20265667612375	0	14.770750094061	0.23277543179347	809	0.498750705918764	4.51319158035001e-12	57	"B1"	3.91606161741139e-10
"s_Bacteroides_thetaiotaomicron_sv_38"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	9.36620255338553	0.0948211113029032	9.36672174151782	0	3.76673191417228	0.408119711710985	808	0.867347164174617	7.32108295161934e-12	57	"B1"	3.94013760078906e-10
"s_Bacteroides_cellulosilyticus_sv_2"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	64.9217724138802	0	60.8519672930052	0	29.381411357353	0	0.832380675732055	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Bacteroides_cellulosilyticus_sv_6"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	33.8908445637228	0	31.5020146473834	0	15.5837520738513	0	0.828443648173449	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Bacteroides_cellulosilyticus_sv_7"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	28.2340565069189	0	26.3631998844891	0	12.2829081334576	0	0.841858812378114	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Parabacteroides_distasonis_sv_15"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	16.6064421783222	0	15.9965855554138	0	8.17491246715318	0	0.810779776206543	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Bacteroides_thetaiotaomicron_sv_41"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	7.70096759628891	0	6.99571100496685	0	6.48498655998234	0	0.633615425996939	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Parabacteroides_distasonis_sv_65"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	4.40361185128288	0	4.32916363302948	0	2.22416556768419	0	0.803802071503063	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Parabacteroides_distasonis_sv_75"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.83804437943184	0	3.46387249485818	0	2.11055105042224	0	0.779448415962594	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Parabacteroides_distasonis_sv_77"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.73536117228865	0	3.4817915272824	0	1.99210255736252	0	0.788441828845107	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"s_Bacteroides_fragilis_sv_125"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.53617931525267	0	1.77886568340458	0	2.18058420658513	0	0.62580786068903	8.0339685122472e-12	57	"B2"	3.94013760078906e-10
"uc_uc_k_sv_286"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.14619009018769	0	0.885071296546814	0	0.862141783931973	0	795	0.694796079945902	1.08246867873341e-11	57	"B1"	5.08760279004704e-10
"s_Clostridium_AQ_innocuum_sv_145"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.4798227923632	0.00283916291514558	1.2376443831895	0	1.08689973492117	0.0155507357305736	794.5	0.702452405380392	1.74099032473598e-11	57	"B1"	7.85534834520872e-10
"s_Bacteroides_fragilis_sv_67"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	5.05450302786809	0	3.27547296697015	0	4.25394886339536	13.5	0.633831087641517	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
"s_Muricomes_contortus_B_sv_76"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.22840158177585	0	2.36893789997541	0	2.61328124891973	13.5	0.648353542978705	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
"s_Muricomes_contortus_B_sv_123"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.97107090613978	0	1.48480410107826	0	1.60467619847455	13.5	0.646227990852692	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
"s_Bacteroides_fragilis_sv_127"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.53620287783888	0	1.53212932100929	0	2.1718164964536	13.5	0.627327002338831	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
"s_Muricomes_contortus_B_sv_135"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.83191376170281	0	1.28913069808167	0	1.57035661179654	13.5	0.626933749100266	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
"s_Bacteroides_fragilis_sv_162"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.96663581015784	0	1.30660218148865	0	1.54883051796242	13.5	0.658492215310684	2.82350876796076e-11	57	"B2"	1.02739286782572e-09
