"OTU"	"Var1"	"Var2"	"estimate"	"statistic"	"p.val"	"N"	"Method"	"q.val"	"Sig"
"s_Alistipes_timonensis"	"Abundance"	"colon_TNF"	-0.561419992715872	23702.3554894269	6.01375928631913e-05	45	"spearman"	0.00168385260016936	"***"
"s_Bacteroides_ovatus"	"Abundance"	"colon_TNF"	-0.557116008508981	23637.0210091663	7.03896211697658e-05	45	"spearman"	0.00197090939275344	"***"
"s_Enterocloster_clostridioformis"	"Abundance"	"colon_IL1b"	-0.54791618664192	23497.3677132243	9.78409441434797e-05	45	"spearman"	0.00273954643601743	"***"
"s_Blautia_pseudococcoides"	"Abundance"	"colon_TNF"	-0.53947770070357	23369.2714966802	0.000131243657382552	45	"spearman"	0.00367482240671146	"***"
"s_Bilophila_wadsworthia"	"Abundance"	"colon_TNF"	-0.531088850019587	23241.9287432973	0.000174410365315754	45	"spearman"	0.00488349022884111	"***"
"s_Parasutterella_gallistercoris"	"Abundance"	"colon_TNF"	-0.516416807631203	23019.2071398417	0.000281801787473978	45	"spearman"	0.00789045004927137	"***"
"s_Bacteroides_caccae"	"Abundance"	"colon_TNF"	-0.513332676034898	22972.3900222098	0.000310851073207903	45	"spearman"	0.00870383004982129	"***"
"s_Phocaeicola_massiliensis"	"Abundance"	"colon_TNF"	-0.51242145533599	22958.5576920003	0.000319936584283774	45	"spearman"	0.00895822435994568	"***"
"s_Diplocloster_modestus"	"Abundance"	"colon_TNF"	0.509319483496425	7448.53024052427	0.000352690155885279	45	"spearman"	0.00987532436478781	"***"
"s_Desulfovibrio_sp900556755"	"Abundance"	"colon_TNF"	-0.508839986210661	22904.1909906778	0.000358014463395183	45	"spearman"	0.0100244049750651	"**"
"s_Anaerostipes_caccae"	"Abundance"	"colon_TNF"	-0.50500686223147	22846.0041686737	0.000403252055057954	45	"spearman"	0.0112910575416227	"**"
"s_Hungatella_hathewayi"	"Abundance"	"colon_TNF"	-0.502955784086894	22814.8688024391	0.000429516172678181	45	"spearman"	0.0120264528349891	"**"
"s_Duodenibacillus_intestinigallinarum"	"Abundance"	"colon_TNF"	-0.500855961849848	22782.9935008807	0.000457989940018191	45	"spearman"	0.0128237183205093	"**"
"s_Pseudoscilispira_sp018369915"	"Abundance"	"colon_TNF"	0.500444859637012	7583.24703071016	0.000463759305626759	45	"spearman"	0.0129852605575493	"**"
"s_Fournierella_sp900543285"	"Abundance"	"colon_TNF"	0.500023159791926	7589.64843435857	0.000469745241469668	45	"spearman"	0.0131528667611507	"**"
"s_Enterocloster_lavalensis"	"Abundance"	"colon_TNF"	0.498395572376809	7614.35521132004	0.0004935056593727	45	"spearman"	0.0138181584624356	"**"
"s_Bacteroides_intestinalis"	"Abundance"	"colon_TNF"	-0.490611458652338	22627.4819423425	0.000622764173586205	45	"spearman"	0.0174373968604138	"**"
"s_Bacteroides_fragilis"	"Abundance"	"colon_TNF"	0.489125400577666	7755.07641923103	0.000650639961958133	45	"spearman"	0.0182179189348277	"**"
"s_Bacteroides_finegoldii"	"Abundance"	"colon_TNF"	0.478776383376305	7912.17450034769	0.000877860702699105	45	"spearman"	0.0186480665591412	"**"
"s_Bacteroides_finegoldii"	"Abundance"	"synov_IL6"	0.812127437869482	53.7315527693282	0.00133200475422437	12	"spearman"	0.0186480665591412	"**"
"s_Bacteroides_finegoldii"	"Abundance"	"synov_CXCL1"	0.790374024355121	59.9530290344355	0.00221510532230025	12	"spearman"	0.020674316341469	"**"
"s_Agathobaculum_hominis"	"Abundance"	"synov_IL6"	0.833880851383843	47.5100765042209	0.000748444730074879	12	"spearman"	0.0209564524420966	"**"
"s_Thomasclavelia_sp000508865"	"Abundance"	"colon_TNF"	0.484030344321649	7832.41937319737	0.000754908805975384	45	"spearman"	0.0211374465673108	"**"
"s_Alistipes_finegoldii"	"Abundance"	"Femur_Joint"	0.400559669276229	13247.6313089953	0.00358334701234523	51	"spearman"	0.0253773629379378	"**"
"s_Alistipes_finegoldii"	"Abundance"	"colon_IL1b"	0.470379504383426	8039.6391234596	0.00111178409119904	45	"spearman"	0.0253773629379378	"**"
"s_Alistipes_finegoldii"	"Abundance"	"ileum_S100A8"	0.466311580768376	4502.19550463798	0.00362533756256254	37	"spearman"	0.0253773629379378	"**"
"s_Alistipes_finegoldii"	"Abundance"	"colon_IFNg"	0.503385993302863	2709.52602053958	0.00331517237910316	32	"spearman"	0.0253773629379378	"**"
"s_Blautia_celeris"	"Abundance"	"colon_TNF"	0.47696818406681	7939.62296586583	0.000924142354733953	45	"spearman"	0.0258759859325507	"**"
"s_Agathobaculum_hominis"	"Abundance"	"synov_CXCL1"	0.797625162193241	57.879203612733	0.00188209431876127	12	"spearman"	0.0263493204626578	"**"
"s_CAG-267_sp001917135"	"Abundance"	"colon_TNF"	0.449674733627671	8353.93754353195	0.0019417323414087	45	"spearman"	0.0271842527797218	"**"
"s_CAG-267_sp001917135"	"Abundance"	"synov_IL6"	0.812127437869482	53.7315527693282	0.00133200475422437	12	"spearman"	0.0271842527797218	"**"
"s_Bacteroides_cellulosilyticus"	"Abundance"	"colon_TNF"	0.469594082487308	8051.56182784267	0.00113627816420706	45	"spearman"	0.0318157885977977	"**"
"s_Parasutterella_excrementihominis"	"Abundance"	"colon_TNF"	-0.466056118085143	22254.7318725325	0.00125267985906776	45	"spearman"	0.0350750360538972	"**"
"s_Bifidobacterium_bifidum"	"Abundance"	"synov_CXCL1"	0.77587174867888	64.1006798778403	0.00301454660095217	12	"spearman"	0.0422036524133304	"**"
"s_Bifidobacterium_bifidum"	"Abundance"	"synov_IL6"	0.804876300031362	55.8053781910306	0.00158884768026894	12	"spearman"	0.0422036524133304	"**"
"s_Butyricimonas_virosa"	"Abundance"	"colon_TNF"	0.446742461010775	8398.44944185644	0.00209549405733334	45	"spearman"	0.0422036524133304	"**"
"s_Butyricimonas_virosa"	"Abundance"	"synov_IL6"	0.77587174867888	64.1006798778403	0.00301454660095217	12	"spearman"	0.0422036524133304	"**"
"s_Hungatella_effluvii"	"Abundance"	"colon_TNF"	0.456998240296668	8242.76671229658	0.00160046709295827	45	"spearman"	0.0448130786028315	"**"
"s_Collinsella_intestinalis"	"Abundance"	"colon_TNF"	0.453955359477102	8288.95764313759	0.00173519533743197	45	"spearman"	0.0485854694480953	"**"
"s_Bacteroides_cellulosilyticus"	"Abundance"	"synov_IL6"	0.76862061084076	66.1745052995427	0.00348836716603999	12	"spearman"	0.0488371403245599	"**"
"s_Bacteroides_stercoris"	"Abundance"	"colon_TNF"	0.450523891640131	8341.04732490281	0.00189911118525891	45	"spearman"	0.0531751131872494	"*"
"s_Christensenella_massiliensis"	"Abundance"	"ileum_S100A8"	-0.493272976230177	12597.2508274778	0.00192126815803769	37	"spearman"	0.0537955084250553	"*"
"s_Cuneatibacter_caecimuris"	"Abundance"	"colon_IL1b"	0.449578529275415	8355.3979255992	0.00194661405764262	45	"spearman"	0.0545051936139933	"*"
"s_Dielma_fastidiosa"	"Abundance"	"colon_TNF"	-0.447361264533767	21970.9439956226	0.00206217753995044	45	"spearman"	0.0577409711186125	"*"
"s_Escherichia_coli"	"Abundance"	"ileum_IL10"	-0.495908033519862	11623.2054204493	0.00209980139635595	36	"spearman"	0.0587944390979665	"*"
"s_Turicibacter_sp002311155"	"Abundance"	"colon_TNF"	0.445778184471484	8413.08715972288	0.00214836012405123	45	"spearman"	0.0601540834734345	"*"
"s_Alistipes_timonensis"	"Abundance"	"synov_IL6"	-0.753043169475573	501.370346470014	0.00469586236779542	12	"spearman"	0.0657420731491359	"*"
"s_Enterococcus_B_hirae"	"Abundance"	"ileum_S100A8"	-0.484598362847575	12524.0717889821	0.00236994966083718	37	"spearman"	0.066358590503441	"*"
"s_Bacteroides_nordii"	"Abundance"	"colon_IFNg"	-0.516232664191617	8272.56541582946	0.00248987453616836	32	"spearman"	0.0697164870127142	"*"
"s_Bacteroides_intestinigallinarum"	"Abundance"	"score_day5"	0.530953994615413	2108.36179420372	0.00253791518730353	30	"spearman"	0.0710616252444988	"*"
"s_Massiliimalia_timonensis"	"Abundance"	"colon_TNF"	0.438383292250744	8525.3416236337	0.00259453756546474	45	"spearman"	0.0726470518330128	"*"
"s_Avimicrobium_caecorum"	"Abundance"	"colon_TNF"	0.436122662581041	8559.65798201979	0.00274633665577448	45	"spearman"	0.0768974263616853	"*"
