"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"
"s_Parasutterella_excrementihominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	5.47335452200717	0	4.03103555670122	0	3.93974778554836	0	810	0.710175807700157	2.66670517404672e-12	57	"B1"	4.63961681582276e-10
"s_Bacteroides_ovatus"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	147.670493749008	0.0876569844396644	119.859346729422	0	65.0106324652873	0.355331590089824	810	0.851492569684838	5.7671210843659e-12	57	"B1"	4.63961681582276e-10
"s_Bacteroides_cellulosilyticus"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	127.053698566084	0	122.411643847401	0	56.9175167009933	0	0.834865681213486	8.0339685122472e-12	57	"B2"	4.63961681582276e-10
"s_Bacteroides_fragilis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	14.0459523987319	0	9.45229933855628	0	11.6633375797174	0	0.638862965767563	8.0339685122472e-12	57	"B2"	4.63961681582276e-10
"s_Bacteroides_intestinalis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	5.74770422087449	0	3.58210764716094	0	5.6933044895782	0	795	0.592861491144695	1.08246867873341e-11	57	"B1"	5.00100529574836e-10
"s_Phocaeicola_vulgatus"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	38.0350312746907	0.16871725386864	33.8539770929156	0	23.5754512008069	0.427657485043097	810	0.75809796247092	2.26507703593237e-11	57	"B1"	8.72054658833962e-10
"s_Muricomes_contortus_B"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	7.03138624961844	0	4.95356988441998	0	5.72212195566034	13.5	0.646372569615125	2.82350876796076e-11	57	"B2"	9.31757893427052e-10
"s_Parasutterella_gallistercoris"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	3.97370161620478	0	2.39277914083304	0	3.8117412080951	0	780	0.605067445147841	4.1988705470725e-11	57	"B1"	1.21242387046718e-09
"s_Akkermansia_sp004167605"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	68.1196495886637	0	57.7203119026971	0	54.1728540677494	27	0.65490422001327	9.53175614977378e-11	57	"B2"	2.44648407844194e-09
"s_Bacteroides_caccae"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	7.20338868544309	0	5.25256148297431	0	7.43147168782108	0	765	0.577354213848415	1.55865122412257e-10	57	"B1"	3.60048432772313e-09
"s_Cryptobacteroides_sp000431015"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.36015652671258	0.00409981107972102	1.47439138523892	0	0.98731439319169	0.0224555900987281	763.5	0.706114160283439	2.85906243360987e-10	57	"B1"	5.95703193217775e-09
"s_Phocaeicola_dorei"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	30.6397149057902	0	19.7269872611459	0	30.7746049027742	40.5	0.566741058675044	3.09456204268974e-10	57	"B2"	5.95703193217775e-09
"s_Butyricimonas_paravirosa"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.3735571199749	0.328462740351334	2.10930892152944	0	1.24813871776131	0.524254363117295	792	0.735608232059745	4.20299108933663e-10	57	"B1"	7.46839185874432e-09
"s_Desulfovibrio_sp900556755"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.567758009506159	0	0.386157017384196	0	0.574350006733842	0	750	0.584839868356833	5.5447343250765e-10	57	"B1"	9.14881163637622e-09
"s_Extibacter_hylemonae"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.37176595597235	0	0.704813251730204	0	2.8903166349594	54	0.493707051037325	9.67348959489242e-10	57	"B2"	1.48971739761343e-08
"s_Bacteroides_eggerthii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	77.1191486330417	0	73.6856308075151	0	54.9154900986179	0	735	0.713890877247678	1.89294025266685e-09	57	"B1"	2.57217175509437e-08
"s_Bilophila_wadsworthia"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.44883227688794	0	2.38197555623254	0	2.03605869011269	0	735	0.658628603488326	1.89294025266685e-09	57	"B1"	2.57217175509437e-08
"s_Bacteroides_nordii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.59436176949251	0	1.56633692605012	0	2.48259318344807	0	720	0.605987795814475	6.21039485884921e-09	57	"B1"	7.97000673552315e-08
"s_Mediterraneibacter_torques"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	5.01757076575916	0	4.85681868078702	0	4.29526096448586	0	705	0.647853677474453	1.96074984049842e-08	57	"B1"	2.38385901660598e-07
"s_Blautia_A_acetigignens"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	4.59761320859934	0	0.957241271752225	0	5.83693888307071	0	690	0.498787221466657	5.96531528427613e-08	57	"B1"	6.88993915333893e-07
"s_Blautia_celeris"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	6.23068982483274	0	0.352676315263346	0	8.91469548810764	108	0.435603775144524	6.47534780995653e-08	57	"B2"	7.12288259095218e-07
"uc_g_Dialister"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.64419109738702	18.1698966436421	0.997769773503185	14.6528956089905	1.82019225332351	19.3082999217012	76	0.507932682329407	1.28223542737565e-07	57	"B2"	1.34634719874444e-06
"s_Duodenibacillus_intestinigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.449689502931698	0	0.286996867346939	0	0.587648198302775	0	675	0.488060849866347	1.75119335523171e-07	57	"B1"	1.55586794253279e-06
"s_Schaedlerella_glycyrrhizinilytica_A"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.96469724468434	0	2.17190112856002	0	3.75229203816709	0	675	0.499933852713849	1.75119335523171e-07	57	"B1"	1.55586794253279e-06
"s_Lachnoclostridium_A_edouardi"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.63738135008197	0	1.02561997737557	0	2.19824580173942	0	675	0.478119735317987	1.75119335523171e-07	57	"B1"	1.55586794253279e-06
"s_Choladousia_sp902363665"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.85693168809532	0	0.662705495828463	0	2.79243605232743	0	675	0.437301281844164	1.75119335523171e-07	57	"B1"	1.55586794253279e-06
"s_Alistipes_finegoldii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0978612923902592	1.22806666160217	0	0.913363219681133	0.232966133781871	1.32689374937047	92	0.50251540739517	2.08440455845176e-07	57	"B2"	1.75374536522555e-06
"s_Bacteroides_thetaiotaomicron"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	50.2170102116365	20.7359201189051	50.2004122599455	19.2267483614179	20.690717025781	16.0970569684551	708	0.625680625008699	2.12575195784915e-07	57	"B1"	1.75374536522555e-06
"s_Blautia_A_fusiformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	36.2671112240928	0.00172795072226644	38.3855291475858	0	32.2253694267053	0.00946437588842675	670.5	0.633935013023527	4.45630474196687e-07	57	"B1"	3.54967722549775e-06
"s_Alistipes_timonensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.755077801447452	0	0.287972190154179	0	1.55495503448219	0	660	0.334907618813994	4.96706927488813e-07	57	"B1"	3.58560313280987e-06
"s_Roseburia_inulinivorans"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.38477165312788	0	0.308174785488903	0	4.46020523944426	0	660	0.364368672275091	4.96706927488813e-07	57	"B1"	3.58560313280987e-06
"s_Anthropogastromicrobium_aceti"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.971399342590332	0	0.481949823400036	0	1.34669444880778	0	660	0.466398869290483	4.96706927488813e-07	57	"B1"	3.58560313280987e-06
"s_Bacteroides_intestinigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0089249967296303	25.7632321988004	0	5.57020923481481	0.0463756433793172	30.791167964986	130	0.500815758965894	5.61250358152281e-07	57	"B2"	3.92875250706596e-06
"s_Alistipes_putredinis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	4.41869405369564	0.00807730603539783	4.20896276598903	0	3.6886979171121	0.0310190813426995	666	0.656458696043067	1.03847171105791e-06	57	"B1"	7.05549897806989e-06
"s_Phocaeicola_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	12.1492105725753	0.00175545779111645	7.89390388911392	0	14.8745502600622	0.0096150383094267	655	0.512302698189118	1.32278903563297e-06	57	"B1"	8.50969751098903e-06
"s_Holdemanella_porci"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.721425088146407	0	0.205449856992602	0	0.938653926829333	0	645	0.489671149059053	1.36302514245279e-06	57	"B1"	8.50969751098903e-06
"s_Acetatifactor_acetigignens"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.688254129885492	0	0.240974911700018	0	1.19087030202674	0	645	0.389446467466329	1.36302514245279e-06	57	"B1"	8.50969751098903e-06
"s_Faecalibacterium_duncaniae"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	34.5159335661335	0.00543908949365969	40.409675826879	0	31.22870914967	0.0209961382208213	650	0.627109225439974	3.1957250813012e-06	57	"B1"	1.94266445731731e-05
"s_Ruminococcus_E_bromii_B"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.78813756649942	0	0.294535775923762	0	3.30316669062618	0	630	0.368285699190822	3.62339307984656e-06	57	"B1"	2.04147268645013e-05
"s_Dielma_fastidiosa"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.762696877240046	0	0.0867289050140539	0	2.16780356957256	0	630	0.249512055315045	3.62339307984656e-06	57	"B1"	2.04147268645013e-05
"s_Anaerobutyricum_hallii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.79121673831246	0	0.310949736078045	0	2.27539199095451	0	630	0.498568213597942	3.62339307984656e-06	57	"B1"	2.04147268645013e-05
"s_Butyricimonas_virosa"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.17128701843503	0	0.151839201773046	0	0.20533739222259	175.5	0.49981400916592	6.0729150177275e-06	57	"B2"	3.34010325975012e-05
"s_Hungatella_hathewayi"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	40.5329831844003	0.0241018922940874	10.9433031915715	0	67.4648907527332	0.0595661919109886	652.5	0.402152421112132	8.69437398856561e-06	57	"B1"	4.67069858455501e-05
"s_CAG-266_sp019117495"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	6.5307217480655	0	0.310949736078045	0	7.98891737234982	0	615	0.512676104383522	9.34343494096428e-06	57	"B1"	4.69202928557119e-05
"s_Lawsonibacter_aceti"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.192825664060345	0	0.12215259262731	0	0.265527397477523	0	615	0.468848812815718	9.34343494096428e-06	57	"B1"	4.69202928557119e-05
"s_Hominiventricola_sp003480725"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.216223259260955	0	0.0956656224489796	0	0.278801265268698	0	615	0.493017922127485	9.34343494096428e-06	57	"B1"	4.69202928557119e-05
"s_Bacteroides_rodentium"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	5.08024654049051	0	0.773489611995492	0	7.47535653405714	189	0.425808280913355	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Bacteroides_sp019412865"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	6.83007052570427	0	1.47576900828243	0	8.19029218318437	189	0.499701916011038	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Tidjanibacter_inops"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	2.14809874375974	0	0.0832707643391467	0	2.43873047147977	189	0.520217215695274	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Thomasclavelia_sp000508865"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.30002811050252	0	0.0554644657230039	0	1.50838841429572	189	0.512031155249767	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Fournierella_sp900543285"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.882352026345922	0	0.0539210077737725	0	1.0998177910364	189	0.485350814825185	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Caecibacter_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.170274330388883	0	0.031161037721126	0	0.252890226465938	189	0.422588366545363	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Cuneatibacter_caecimuris"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.554319983983343	0	0.094425965395177	0	0.844055337294579	189	0.414017223830025	1.38456702520816e-05	57	"B2"	6.0346223174167e-05
"s_Alistipes_onderdonkii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.512885298257653	0.00502009555192842	0.0825096255459669	0	1.25547617939539	0.0274961957462255	619	0.283927410346086	1.66264925221752e-05	57	"B1"	7.11244402337496e-05
"s_Eubacterium_G_ventriosum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.60929620017819	0	0	0	3.09198871450464	0	600	0.52465424623235	2.34020570536416e-05	57	"B2"	9.48399154279159e-05
"s_Dorea_D_hominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.346984175328354	0	0	0	0.456446271908338	0	600	0.485615222700882	2.34020570536416e-05	57	"B2"	9.48399154279159e-05
"s_Limivivens_faecihominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.245551777994698	0	0	0	0.292773747615611	0	600	0.522329661843094	2.34020570536416e-05	57	"B2"	9.48399154279159e-05
"s_Hungatella_effluvii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0126741675463134	6.05975769101266	0	0.29984494729224	0.0456682258452628	18.4935031401397	180	0.221156411453345	2.56244490627779e-05	57	"B2"	0.000102055995405201
"s_Dysosmobacter_faecalis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.207373639547442	0.00452170169412299	0.154087392744451	0	0.227025084969557	0.0172079076806464	618	0.545106867549228	2.69423445844435e-05	57	"B1"	0.000105486128796719
"s_Bifidobacterium_bifidum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.07409174445645	0	0.000997418829163304	0	1.4310148587901	202.5	0.461024510125388	3.07727480918181e-05	57	"B2"	0.00011283340967
"s_Prevotella_rara"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.19594953335545	0	0.000227134980898574	0	2.03074159803401	202.5	0.377778006470363	3.07727480918181e-05	57	"B2"	0.00011283340967
"s_Enterocloster_asparagiformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.450486776019605	0	0.0535369709848281	0	0.696589528872193	202.5	0.408776040738519	3.07727480918181e-05	57	"B2"	0.00011283340967
"s_Avimicrobium_caecorum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.261903931905781	0	0.000138256075329567	0	0.351456258002363	202.5	0.458426901798791	3.07727480918181e-05	57	"B2"	0.00011283340967
"s_Eisenbergiella_tayi"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	8.66286038011212	1.98518074944882	6.7529086309009	0.458001263559929	8.27799807612798	2.39051419283817	657.5	0.491121976003295	4.95968356874234e-05	57	"B1"	0.000179013578809294
"s_Coprobacillus_cateniformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.00611182411451607	1.62564096290648	0	0.0892237295103585	0.0317579696797995	4.4443793900692	200	0.244986587669054	5.34868374700696e-05	57	"B2"	0.000190083991624401
"s_Christensenella_hongkongensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	1.57302547623345	0	0	0	3.41065821177044	0	585	0.319881986561436	5.70092732421753e-05	57	"B2"	0.000196554359984216
"s_Gemmiger_qucibialis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.773651802167716	0	0	0	1.86667068980041	0	585	0.290380302281342	5.70092732421753e-05	57	"B2"	0.000196554359984216
"s_Sutterella_wadsworthensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.87167641597101	0	0	0	2.44684506240659	216	0.4678909354457	6.67467303170708e-05	57	"B2"	0.000214145759767269
"s_Prevotella_sp934191715"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.00420573748708	0	0	0	2.53474200690778	216	0.264887607990846	6.67467303170708e-05	57	"B2"	0.000214145759767269
"s_Prevotella_intestinigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.00340851650321	0	0	0	2.04736015325783	216	0.32164990908507	6.67467303170708e-05	57	"B2"	0.000214145759767269
"s_Enterocloster_pacaense"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.87094879731817	0	0	0	11.2727861541778	216	0.231659951603558	6.67467303170708e-05	57	"B2"	0.000214145759767269
"s_Enterocloster_lavalensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.720845267909453	0	0	0	1.13490080634034	216	0.402693809974547	6.67467303170708e-05	57	"B2"	0.000214145759767269
"s_Blautia_A_caecimuris"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	17.1916480915745	6.27379286799046	14.3036878595901	0	16.2224982052876	17.3975716445906	632	0.310028594183153	8.98671158735879e-05	57	"B1"	0.000284374024202723
"s_Anaerostipes_caccae"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	7.74040532270453	1.94721790040168	5.91239751663561	1.22449450595815	6.27729943726695	2.6877773344039	648	0.523313902553011	9.17941578578176e-05	57	"B1"	0.000286546627907512
"s_Bacteroides_finegoldii"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0027271831104052	1.67931811714638	0	0.000266636716707022	0.0141708591262966	2.56568038179319	211	0.412310724038824	9.51691558276554e-05	57	"B2"	0.000293120999949179
"s_Mediterraneibacter_hominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.182723649033069	0	0	0	0.278630379765553	0	570	0.432412406306958	0.000135265609089087	57	"B2"	0.000411136259204987
"s_Bacteroides_stercoris"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	4.19148998426171	0	0	0	7.77788898296938	229.5	0.349846864878769	0.000141445061437432	57	"B2"	0.000424335184312295
"s_Enterocloster_citroniae"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.25635721632059	0.0549882724454058	0.283811675767733	0	0.228472472482303	0.130135389150843	613.5	0.483213786940235	0.000180306857839375	57	"B1"	0.000533985694370457
"s_Enterocloster_sp001517625"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.318878445700274	0.00234169385402309	0	0	0.395602755201862	0.0128259854661966	577.5	0.504426149297485	0.000183736198534216	57	"B2"	0.000537253947612706
"s_Anaerotignum_faecicola"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.711435187908176	0.103915669299178	0.682342427906144	0	0.654630631879769	0.202948656343314	621.5	0.541372003888966	0.000187804154247581	57	"B1"	0.00054228449538989
"s_Eubacterium_F_sp003491505"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.00319090276075133	6.38282862178875	0	0	0.0165804171108993	9.09539254512265	225	0.43685450272152	0.000212686838956275	57	"B2"	0.000606551355541969
"s_Phocaeicola_plebeius_A"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	3.34246595003696	0	0	0	7.1883513604303	243	0.306784390747991	0.000293180000236546	57	"B2"	0.000806245000650501
"s_Agathobacter_faecis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	5.53192329011139	0	0	0	10.5056635956501	243	0.342808338474713	0.000293180000236546	57	"B2"	0.000806245000650501
"s_Eubacterium_R_sp000436835"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.267613045436174	0	0	0	0.415514197249355	243	0.407384107036319	0.000293180000236546	57	"B2"	0.000806245000650501
"uc_g_Escherichia"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.218357324910126	0	0	0	0.399864606004711	0	555	0.371058874527237	0.000313051910391205	57	"B2"	0.000840871991864747
"s_Akkermansia_muciniphila"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0958189203840434	0	0	0	0.145831034982139	0	555	0.433085855142636	0.000313051910391205	57	"B2"	0.000840871991864747
"s_Sellimonas_intestinalis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	2.13127650032642	0.683469543093021	1.92779929360014	0.0269111267171257	1.9018547944601	0.925647206306609	623	0.443657882973984	0.000412412431012753	57	"B1"	0.00109502610993041
