"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"	"Effect_size"	"ColorGroup"
"s_Bacteroides_cellulosilyticus"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.00288795709265018	120.023559337095	0	120.636760217953	0.015006265243647	34.7598571819179	0	-0.921462048965281	4.17598630120306e-11	52	"B2"	7.4457908047137e-10	"Large effect"	"B2 Large effect"
"s_Avimicrobium_caecorum"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.902228197764387	0	0.915855573894126	0	0.427512761047919	0	-0.832504157406282	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"uc_g_Dialister"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	1.52198894535625	10.8040836537384	1.74855543734278	10.0299009528817	1.02946566005171	4.79672103382408	16	-0.803696242314199	3.95482815271543e-09	52	"B2"	2.0762847801756e-08	"Large effect"	"B2 Large effect"
"s_Sutterella_wadsworthensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	4.09203252765189	0	4.20748991904806	0	2.4191073213949	13.5	-0.771874747146721	1.12519126534921e-10	52	"B2"	1.01267213881429e-09	"Large effect"	"B2 Large effect"
"s_Tidjanibacter_inops"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.17768616251987	0	1.98435374343727	0	1.30460998514339	27	-0.767827914522415	4.25395320958751e-10	52	"B2"	2.97776724671126e-09	"Large effect"	"B2 Large effect"
"s_Enterocloster_lavalensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.25649335685507	0	1.14289211316832	0	0.762311029796059	0	-0.76393912427543	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"s_Thomasclavelia_sp000508865"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.50133558570381	0	2.28191084451187	0	1.57760419177613	0	-0.751753187765242	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"s_Butyricimonas_virosa"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.562933271133622	0	0.532247055005795	0	0.355485304181325	13.5	-0.75135787960721	1.12519126534921e-10	52	"B2"	1.01267213881429e-09	"Large effect"	"B2 Large effect"
"s_Akkermansia_sp004167605"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	36.8634196035987	0	37.2712104603605	0	23.6583581552835	0	-0.746170394497886	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"s_Fournierella_sp900543285"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.5129678775356	0	2.05502404520151	0	1.63520345629542	0	-0.741695390431734	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"s_Blautia_celeris"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	7.74888948934018	0	8.04884417703925	0	5.48320116589953	27	-0.713644456721738	4.25395320958751e-10	52	"B2"	2.97776724671126e-09	"Large effect"	"B2 Large effect"
"s_Barnesiella_intestinihominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	1.46304422611704	8.37443236832127	0	7.89139792425743	2.66622055899668	4.03149283785942	41	-0.713384053568325	3.76358597214851e-08	52	"B2"	1.58070610830238e-07	"Large effect"	"B2 Large effect"
"s_Bacteroides_xylanisolvens"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	3.92855698792983	31.0727940520721	2.18933677110462	28.5723028292079	5.48458436749765	20.38286644483	47	-0.679478773608229	9.48142982776449e-08	52	"B2"	3.6571229335663e-07	"Large effect"	"B2 Large effect"
"uc_uc_k"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	12.6524386488802	61.849847681191	9.00755700111613	55.6180541819947	8.89843728934198	38.2623012564192	83	-0.670149587420354	5.89753303662987e-07	52	"B2"	1.99041739986258e-06	"Large effect"	"B2 Large effect"
"s_Luxibacter_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	6.86260700943129	0	5.87965212932654	0	5.53245452940959	0	-0.667439541076787	2.83471678844937e-11	52	"B2"	6.69701841271164e-10	"Large effect"	"B2 Large effect"
"s_Enterocloster_sp005845215"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.366981381784785	0	0.361449580386643	0	0.297311276179346	81	-0.665644092662366	5.5212693336402e-08	52	"B2"	2.17399980012083e-07	"Large effect"	"B2 Large effect"
"s_Collinsella_intestinalis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.607212245960035	0	0.448901897793787	0	0.499946265880512	13.5	-0.659732622862946	1.12519126534921e-10	52	"B2"	1.01267213881429e-09	"Large effect"	"B2 Large effect"
"s_Prevotella_intestinigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.68054867206161	0	2.10947039029948	0	2.30128962788234	40.5	-0.64428419160169	1.53440126156428e-09	52	"B2"	8.78793449804995e-09	"Large effect"	"B2 Large effect"
"s_Enterocloster_asparagiformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.644324863720022	0	0.422324932646925	0	0.572033417423797	13.5	-0.631765415592409	1.12519126534921e-10	52	"B2"	1.01267213881429e-09	"Large effect"	"B2 Large effect"
"s_Pseudoscilispira_sp018369915"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.395129714063866	0	0.325576735132179	0	0.365842989568316	40.5	-0.61596453164345	1.53440126156428e-09	52	"B2"	8.78793449804995e-09	"Large effect"	"B2 Large effect"
"s_CAG-267_sp001917135"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.96840186615518	0	1.38370112431176	0	1.85398373806211	13.5	-0.609488517215124	1.12519126534921e-10	52	"B2"	1.01267213881429e-09	"Large effect"	"B2 Large effect"
"s_Bacteroides_finegoldii"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.00500595886519133	4.37213603368396	0	2.83001856594059	0.0260117252853337	4.12754075310979	0	-0.608169597440075	4.17598630120306e-11	52	"B2"	7.4457908047137e-10	"Large effect"	"B2 Large effect"
"s_Odoribacter_splanchnicus"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.110253688369398	0.483044974330184	0	0.422324932646925	0.168177135560183	0.305930736835974	85.5	-0.608038652225323	2.54508887095547e-06	52	"B2"	7.88560322312432e-06	"Large effect"	"B2 Large effect"
"s_Agathobaculum_hominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.00472639587686335	3.5512473069709	0	2.54076911562102	0.0245590733862342	3.46375644040525	112	-0.595714485893593	1.20767139896749e-06	52	"B2"	4.00438411236589e-06	"Large effect"	"B2 Large effect"
"s_Allocoprobacillus_merdigallinarum"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	2.68098377485592	9.36216306762275	0	10.3413061702726	4.18114609433837	5.18260459617163	117.5	-0.581853773800966	3.48357575147944e-05	52	"B2"	8.77861089372819e-05	"Large effect"	"B2 Large effect"
"s_UBA3282_sp003611805"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	2.03478132345806	35.9445404042412	0	28.0846080210205	7.94165687438137	33.338485785091	62.5	-0.581849582314685	4.44326105327227e-08	52	"B2"	1.82560073710535e-07	"Large effect"	"B2 Large effect"
"s_Turicibacter_sp002311155"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.136182756739457	4.230380270891	0	3.53429153200037	0.418778500281831	4.14093202611032	81.5	-0.580317584881859	3.51531230359692e-07	52	"B2"	1.27768081803811e-06	"Large effect"	"B2 Large effect"
"s_Anaerostipes_hadrus"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.00708959381529503	7.51679265019556	0	8.22081256208751	0.0368386100793512	7.69639963168096	154	-0.577379557423644	2.79119105650474e-05	52	"B2"	7.12885283350534e-05	"Large effect"	"B2 Large effect"
"s_Otoolea_symbiosa"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	3.40614000087065	8.0270605499687	3.01165298050568	6.80029380945626	3.19894575160262	3.53934245203516	100	-0.567570238387361	1.38774500296808e-05	52	"B2"	3.80121457334736e-05	"Large effect"	"B2 Large effect"
"s_Alitiscatomonas_sp900541255"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	3.21513399232681	0	3.30989206965114	0	3.40008797075442	148.5	-0.565425174029444	9.83832569183537e-06	52	"B2"	2.73447581728954e-05	"Large effect"	"B2 Large effect"
"s_Eubacterium_R_sp000436835"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.616837184006938	0	0.406970918915223	0	0.667089091858571	94.5	-0.556896576854067	1.67742668656749e-07	52	"B2"	6.21634595610306e-07	"Large effect"	"B2 Large effect"
"s_Alistipes_shahii"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.380268082482352	1.45562321367165	0	1.22114076519217	0.639985988907817	0.978653165224366	82	-0.550124414480714	2.4018916112995e-06	52	"B2"	7.56595857559343e-06	"Large effect"	"B2 Large effect"
"s_Lawsonibacter_sp000177015"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.200253329737767	3.27813049386407	0	2.25612350168514	0.576817974599521	3.33836334084624	109	-0.54972741527568	4.37621557518885e-06	52	"B2"	1.29235116204796e-05	"Large effect"	"B2 Large effect"
"s_Blautia_A_ammoniilytica"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.383621475299634	0	0.256922411805867	0	0.424500486570762	108	-0.548167849069196	4.90179097925398e-07	52	"B2"	1.68443362741637e-06	"Large effect"	"B2 Large effect"
"s_Bacteroides_rodentium"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	4.61571048015694	0	4.29216563610566	0	5.12786280733575	148.5	-0.546660016104188	9.83832569183537e-06	52	"B2"	2.73447581728954e-05	"Large effect"	"B2 Large effect"
"s_UBA7173_sp001689485"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.234406911892398	0.736619723067719	0	0.695952311016278	0.307883481140269	0.474383193770046	114	-0.536893444576868	3.71641021820354e-05	52	"B2"	9.2421254110588e-05	"Large effect"	"B2 Large effect"
"s_Phocaeicola_dorei"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	9.6864312162214	0	6.33632413937132	0	11.2182117470065	67.5	-0.530886092176276	1.74522910585704e-08	52	"B2"	7.67089072109256e-08	"Large effect"	"B2 Large effect"
"s_Pseudoflavonifractor_sp902362925"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.632888664073106	0	0.560998655873075	0	0.763446104214183	135	-0.515523088180577	3.74816190428569e-06	52	"B2"	1.12444857128571e-05	"Large effect"	"B2 Large effect"
"s_Parabacteroides_merdae"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	1.94154980310815	3.869142379927	1.75709156168216	3.76754408286944	1.27162721488191	1.94537967105225	145	-0.511077377398551	0.000437267610198836	52	"B2"	0.000861188367288551	"Large effect"	"B2 Large effect"
"s_Extibacter_hylemonae"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	1.12387659077951	0	0.305285191298042	0	1.40686215999518	67.5	-0.501658002828255	1.74522910585704e-08	52	"B2"	7.67089072109256e-08	"Large effect"	"B2 Large effect"
"s_Oxalobacter_aliiformigenes"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.194624208125346	0	0	0	0.236729990699613	0	500	-0.497451965080657	9.55000765546471e-05	52	"B2"	0.000212347229045039	"Medium effect"	"B2 Medium effect"
"s_Alistipes_A_ihumii"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.138917791597837	0	0	0	0.169428186726685	0	500	-0.496449107777118	9.55000765546471e-05	52	"B2"	0.000212347229045039	"Medium effect"	"B2 Medium effect"
"s_Diplocloster_modestus"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.106375648457575	0	0	0	0.136566199751705	175.5	-0.492268014423478	6.15533946176811e-05	52	"B2"	0.000145419894784272	"Medium effect"	"B2 Medium effect"
"s_Bittarella_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.321447282415604	0.670324168777716	0.311899366006219	0.5630999101959	0.264621132738952	0.362980248062146	150	-0.48591974491954	0.000595485121567128	52	"B2"	0.00114843559159375	"Medium effect"	"B2 Medium effect"
"s_Adlercreutzia_equolifaciens"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.0214567164847097	0.217223799891404	0	0.146339238258575	0.0646891074653035	0.253693165606082	162	-0.476277410188323	0.000159607059718675	52	"B2"	0.000331491585569556	"Medium effect"	"B2 Medium effect"
"s_Lachnospira_sp000436535"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.108541815588778	0	0	0	0.146566537912695	175.5	-0.473677097998762	6.15533946176811e-05	52	"B2"	0.000145419894784272	"Medium effect"	"B2 Medium effect"
"s_Merdimmobilis_hominis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.396001194817942	0	0	0	0.548727471353562	189	-0.46427638800561	0.000147183613987819	52	"B2"	0.00030908558937442	"Medium effect"	"B2 Medium effect"
"s_Fusicatenibacter_saccharivorans"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.00708959381529503	9.0177662483199	0	1.98797269212654	0.0368386100793512	12.6583545612501	168	-0.459315649652259	7.38950550144678e-05	52	"B2"	0.000168267052984752	"Medium effect"	"B2 Medium effect"
"s_Neobittarella_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.0927649831599748	0	0	0	0.127686950457043	0	475	-0.452266728413884	0.000441985564163966	52	"B2"	0.000861188367288551	"Medium effect"	"B2 Medium effect"
"s_Bacteroides_stercoris"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	4.67674455282512	0	0.579763228812041	0	6.86688313887611	67.5	-0.443511685961576	1.74522910585704e-08	52	"B2"	7.67089072109256e-08	"Medium effect"	"B2 Medium effect"
"s_Prevotella_rara"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	2.33165972267823	0	0.0936081721115538	0	3.46230167732477	162	-0.439533571316136	2.49941450780986e-05	52	"B2"	6.47108687638444e-05	"Medium effect"	"B2 Medium effect"
"s_Enterocloster_pacaense"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0	0.286723747963324	0	0.138265627756967	0	0.427413473190786	108	-0.438165401329907	4.90179097925398e-07	52	"B2"	1.68443362741637e-06	"Medium effect"	"B2 Medium effect"
"s_Christensenella_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	25	0.0927752425639298	0	0	0	0.136320435536999	0	475	-0.429186578651736	0.000441985564163966	52	"B2"	0.000861188367288551	"Medium effect"	"B2 Medium effect"
